,vs,vg,vd,id
0,0.0,0.0,0.0,4.75246e-08
1,0.0,0.0,-0.05,-1.51966e-05
2,0.0,0.0,-0.1,-2.99818e-05
3,0.0,0.0,-0.15000000000000002,-4.49344e-05
4,0.0,0.0,-0.2,-5.96963e-05
5,0.0,0.0,-0.25,-7.42355e-05
6,0.0,0.0,-0.30000000000000004,-8.85944e-05
7,0.0,0.0,-0.35000000000000003,-0.000102808
8,0.0,0.0,-0.4,-0.000116825
9,0.0,0.0,-0.45,-0.000130709
10,0.0,0.0,-0.5,-0.000144462
11,0.0,0.0,-0.55,-0.000158065
12,0.0,0.0,-0.6000000000000001,-0.000171475
13,0.0,0.0,-0.65,-0.000184725
14,0.0,0.0,-0.7000000000000001,-0.000197923
15,0.0,0.0,-0.75,-0.00021089
16,0.0,0.0,-0.8,-0.000223674
17,0.0,0.0,-0.8500000000000001,-0.000236413
18,0.0,0.0,-0.9,-0.000248946
19,0.0,0.0,-0.9500000000000001,-0.000261463
20,0.0,0.0,-1.0,-0.000273584
21,0.0,0.0,-1.05,-0.000285558
22,0.0,0.0,-1.1,-0.000297441
23,0.0,0.0,-1.1500000000000001,-0.000309069
24,0.0,0.0,-1.2000000000000002,-0.000320478
25,0.0,0.0,-1.25,-0.000331591
26,0.0,0.0,-1.3,-0.000342702
27,0.0,0.0,-1.35,-0.000353625
28,0.0,0.0,-1.4000000000000001,-0.000364264
29,0.0,0.0,-1.4500000000000002,-0.000374834
30,0.0,0.0,-1.5,-0.000385213
31,0.0,0.0,-1.55,-0.000395373
32,0.0,0.0,-1.6,-0.000405337
33,0.0,0.0,-1.6500000000000001,-0.000415096
34,0.0,0.0,-1.7000000000000002,-0.000424627
35,0.0,0.0,-1.75,-0.000434009
36,0.0,0.0,-1.8,-0.000443279
37,0.0,0.0,-1.85,-0.000452491
38,0.0,0.0,-1.9000000000000001,-0.000461362
39,0.0,0.0,-1.9500000000000002,-0.000470153
40,0.0,0.0,-2.0,-0.000478604
41,0.0,0.0,-2.0500000000000003,-0.00048691
42,0.0,0.0,-2.1,-0.000494927
43,0.0,0.0,-2.15,-0.000502858
44,0.0,0.0,-2.2,-0.000510485
45,0.0,0.0,-2.25,-0.000517945
46,0.0,0.0,-2.3000000000000003,-0.000525159
47,0.0,0.0,-2.35,-0.000532191
48,0.0,0.0,-2.4000000000000004,-0.000539023
49,0.0,0.0,-2.45,-0.000545667
50,0.0,0.0,-2.5,-0.000552137
51,0.0,0.0,-2.5500000000000003,-0.000558357
52,0.0,0.0,-2.6,-0.000564365
53,0.0,0.0,-2.6500000000000004,-0.000570146
54,0.0,0.0,-2.7,-0.000575774
55,0.0,0.0,-2.75,-0.000581383
56,0.0,0.0,-2.8000000000000003,-0.000586682
57,0.0,0.0,-2.85,-0.000591764
58,0.0,0.0,-2.9000000000000004,-0.000596471
59,0.0,0.0,-2.95,-0.000601034
60,0.0,0.0,-3.0,-0.000605333
61,0.0,0.0,-3.0500000000000003,-0.000609445
62,0.0,0.0,-3.1,-0.000613344
63,0.0,0.0,-3.1500000000000004,-0.000617018
64,0.0,0.0,-3.2,-0.000620447
65,0.0,0.0,-3.25,-0.000623642
66,0.0,0.0,-3.3000000000000003,-0.000626666
67,0.0,0.0,-3.35,-0.000629421
68,0.0,0.0,-3.4000000000000004,-0.000631998
69,0.0,0.0,-3.45,-0.000634369
70,0.0,0.0,-3.5,-0.000636488
71,0.0,0.0,-3.5500000000000003,-0.000638391
72,0.0,0.0,-3.6,-0.000640106
73,0.0,0.0,-3.6500000000000004,-0.000641654
74,0.0,0.0,-3.7,-0.000643027
75,0.0,0.0,-3.75,-0.000644244
76,0.0,0.0,-3.8000000000000003,-0.000645298
77,0.0,0.0,-3.85,-0.00064621
78,0.0,0.0,-3.9000000000000004,-0.000647015
79,0.0,0.0,-3.95,-0.00064772
80,0.0,0.0,-4.0,-0.000648334
81,0.0,0.0,-4.05,-0.000648865
82,0.0,0.0,-4.1000000000000005,-0.000649316
83,0.0,0.0,-4.15,-0.000649719
84,0.0,0.0,-4.2,-0.000650053
85,0.0,0.0,-4.25,-0.000650344
86,0.0,0.0,-4.3,-0.000650602
87,0.0,0.0,-4.3500000000000005,-0.000650842
88,0.0,0.0,-4.4,-0.000651052
89,0.0,0.0,-4.45,-0.000651236
90,0.0,0.0,-4.5,-0.000651407
91,0.0,0.0,-4.55,-0.000651549
92,0.0,0.0,-4.6000000000000005,-0.00065167
93,0.0,0.0,-4.65,-0.000651812
94,0.0,0.0,-4.7,-0.000651953
95,0.0,0.0,-4.75,-0.000652093
96,0.0,0.0,-4.800000000000001,-0.000652224
97,0.0,0.0,-4.8500000000000005,-0.000652334
98,0.0,0.0,-4.9,-0.000652455
99,0.0,0.0,-4.95,-0.000652563
100,0.0,0.0,-5.0,-0.00065267
