,vs,vg,vd,id
0,0.0,0.0,0.0,9.14256e-09
1,0.0,0.0,-0.05,-3.8334e-06
2,0.0,0.0,-0.1,-7.65875e-06
3,0.0,0.0,-0.15000000000000002,-1.14395e-05
4,0.0,0.0,-0.2,-1.51705e-05
5,0.0,0.0,-0.25,-1.88515e-05
6,0.0,0.0,-0.30000000000000004,-2.24796e-05
7,0.0,0.0,-0.35000000000000003,-2.60584e-05
8,0.0,0.0,-0.4,-2.96017e-05
9,0.0,0.0,-0.45,-3.30913e-05
10,0.0,0.0,-0.5,-3.65457e-05
11,0.0,0.0,-0.55,-3.99481e-05
12,0.0,0.0,-0.6000000000000001,-4.33051e-05
13,0.0,0.0,-0.65,-4.66223e-05
14,0.0,0.0,-0.7000000000000001,-4.9891e-05
15,0.0,0.0,-0.75,-5.31116e-05
16,0.0,0.0,-0.8,-5.62922e-05
17,0.0,0.0,-0.8500000000000001,-5.94308e-05
18,0.0,0.0,-0.9,-6.25235e-05
19,0.0,0.0,-0.9500000000000001,-6.55691e-05
20,0.0,0.0,-1.0,-6.85708e-05
21,0.0,0.0,-1.05,-7.15358e-05
22,0.0,0.0,-1.1,-7.44505e-05
23,0.0,0.0,-1.1500000000000001,-7.73205e-05
24,0.0,0.0,-1.2000000000000002,-8.01531e-05
25,0.0,0.0,-1.25,-8.29385e-05
26,0.0,0.0,-1.3,-8.56832e-05
27,0.0,0.0,-1.35,-8.8376e-05
28,0.0,0.0,-1.4000000000000001,-9.10256e-05
29,0.0,0.0,-1.4500000000000002,-9.36395e-05
30,0.0,0.0,-1.5,-9.62094e-05
31,0.0,0.0,-1.55,-9.8738e-05
32,0.0,0.0,-1.6,-0.000101203
33,0.0,0.0,-1.6500000000000001,-0.000103632
34,0.0,0.0,-1.7000000000000002,-0.000106023
35,0.0,0.0,-1.75,-0.000108356
36,0.0,0.0,-1.8,-0.000110662
37,0.0,0.0,-1.85,-0.000112936
38,0.0,0.0,-1.9000000000000001,-0.000115154
39,0.0,0.0,-1.9500000000000002,-0.000117332
40,0.0,0.0,-2.0,-0.000119459
41,0.0,0.0,-2.0500000000000003,-0.000121541
42,0.0,0.0,-2.1,-0.000123576
43,0.0,0.0,-2.15,-0.000125566
44,0.0,0.0,-2.2,-0.000127509
45,0.0,0.0,-2.25,-0.000129403
46,0.0,0.0,-2.3000000000000003,-0.00013125
47,0.0,0.0,-2.35,-0.000133046
48,0.0,0.0,-2.4000000000000004,-0.000134796
49,0.0,0.0,-2.45,-0.000136501
50,0.0,0.0,-2.5,-0.000138162
51,0.0,0.0,-2.5500000000000003,-0.000139778
52,0.0,0.0,-2.6,-0.000141353
53,0.0,0.0,-2.6500000000000004,-0.00014288
54,0.0,0.0,-2.7,-0.000144358
55,0.0,0.0,-2.75,-0.000145789
56,0.0,0.0,-2.8000000000000003,-0.000147176
57,0.0,0.0,-2.85,-0.000148519
58,0.0,0.0,-2.9000000000000004,-0.000149812
59,0.0,0.0,-2.95,-0.00015106
60,0.0,0.0,-3.0,-0.000152254
61,0.0,0.0,-3.0500000000000003,-0.0001534
62,0.0,0.0,-3.1,-0.000154493
63,0.0,0.0,-3.1500000000000004,-0.00015554
64,0.0,0.0,-3.2,-0.000156532
65,0.0,0.0,-3.25,-0.000157488
66,0.0,0.0,-3.3000000000000003,-0.000158396
67,0.0,0.0,-3.35,-0.000159252
68,0.0,0.0,-3.4000000000000004,-0.000160054
69,0.0,0.0,-3.45,-0.000160806
70,0.0,0.0,-3.5,-0.000161502
71,0.0,0.0,-3.5500000000000003,-0.000162146
72,0.0,0.0,-3.6,-0.000162747
73,0.0,0.0,-3.6500000000000004,-0.000163304
74,0.0,0.0,-3.7,-0.000163815
75,0.0,0.0,-3.75,-0.000164278
76,0.0,0.0,-3.8000000000000003,-0.000164697
77,0.0,0.0,-3.85,-0.000165076
78,0.0,0.0,-3.9000000000000004,-0.000165414
79,0.0,0.0,-3.95,-0.000165701
80,0.0,0.0,-4.0,-0.000165984
81,0.0,0.0,-4.05,-0.00016623
82,0.0,0.0,-4.1000000000000005,-0.000166415
83,0.0,0.0,-4.15,-0.000166569
84,0.0,0.0,-4.2,-0.000166712
85,0.0,0.0,-4.25,-0.000166855
86,0.0,0.0,-4.3,-0.000166978
87,0.0,0.0,-4.3500000000000005,-0.000167099
88,0.0,0.0,-4.4,-0.000167175
89,0.0,0.0,-4.45,-0.000167242
90,0.0,0.0,-4.5,-0.000167307
91,0.0,0.0,-4.55,-0.000167369
92,0.0,0.0,-4.6000000000000005,-0.000167428
93,0.0,0.0,-4.65,-0.00016748
94,0.0,0.0,-4.7,-0.000167526
95,0.0,0.0,-4.75,-0.000167568
96,0.0,0.0,-4.800000000000001,-0.000167613
97,0.0,0.0,-4.8500000000000005,-0.000167653
98,0.0,0.0,-4.9,-0.000167695
99,0.0,0.0,-4.95,-0.000167734
100,0.0,0.0,-5.0,-0.000167764
