,vs,vg,vd,id
0,0.0,0.0,0.0,8.24967e-09
1,0.0,0.0,-0.05,-3.35515e-06
2,0.0,0.0,-0.1,-6.71518e-06
3,0.0,0.0,-0.15000000000000002,-1.00487e-05
4,0.0,0.0,-0.2,-1.33745e-05
5,0.0,0.0,-0.25,-1.67054e-05
6,0.0,0.0,-0.30000000000000004,-2.00201e-05
7,0.0,0.0,-0.35000000000000003,-2.322e-05
8,0.0,0.0,-0.4,-2.6475e-05
9,0.0,0.0,-0.45,-2.96869e-05
10,0.0,0.0,-0.5,-3.28843e-05
11,0.0,0.0,-0.55,-3.61136e-05
12,0.0,0.0,-0.6000000000000001,-3.93093e-05
13,0.0,0.0,-0.65,-4.25034e-05
14,0.0,0.0,-0.7000000000000001,-4.5675e-05
15,0.0,0.0,-0.75,-4.87146e-05
16,0.0,0.0,-0.8,-5.18934e-05
17,0.0,0.0,-0.8500000000000001,-5.50201e-05
18,0.0,0.0,-0.9,-5.79794e-05
19,0.0,0.0,-0.9500000000000001,-6.11189e-05
20,0.0,0.0,-1.0,-6.40242e-05
21,0.0,0.0,-1.05,-6.70627e-05
22,0.0,0.0,-1.1,-7.00444e-05
23,0.0,0.0,-1.1500000000000001,-7.29554e-05
24,0.0,0.0,-1.2000000000000002,-7.59343e-05
25,0.0,0.0,-1.25,-7.8724e-05
26,0.0,0.0,-1.3,-8.18515e-05
27,0.0,0.0,-1.35,-8.4711e-05
28,0.0,0.0,-1.4000000000000001,-8.77709e-05
29,0.0,0.0,-1.4500000000000002,-9.06225e-05
30,0.0,0.0,-1.5,-9.35315e-05
31,0.0,0.0,-1.55,-9.67035e-05
32,0.0,0.0,-1.6,-9.94467e-05
33,0.0,0.0,-1.6500000000000001,-0.000102235
34,0.0,0.0,-1.7000000000000002,-0.000104958
35,0.0,0.0,-1.75,-0.000107961
36,0.0,0.0,-1.8,-0.000110523
37,0.0,0.0,-1.85,-0.00011334
38,0.0,0.0,-1.9000000000000001,-0.000115998
39,0.0,0.0,-1.9500000000000002,-0.000118555
40,0.0,0.0,-2.0,-0.000121359
41,0.0,0.0,-2.0500000000000003,-0.000124052
42,0.0,0.0,-2.1,-0.00012681
43,0.0,0.0,-2.15,-0.000129119
44,0.0,0.0,-2.2,-0.00013147
45,0.0,0.0,-2.25,-0.00013429
46,0.0,0.0,-2.3000000000000003,-0.000136875
47,0.0,0.0,-2.35,-0.000139122
48,0.0,0.0,-2.4000000000000004,-0.000141597
49,0.0,0.0,-2.45,-0.000144245
50,0.0,0.0,-2.5,-0.000146472
51,0.0,0.0,-2.5500000000000003,-0.000148703
52,0.0,0.0,-2.6,-0.000150927
53,0.0,0.0,-2.6500000000000004,-0.000153181
54,0.0,0.0,-2.7,-0.000155399
55,0.0,0.0,-2.75,-0.000157593
56,0.0,0.0,-2.8000000000000003,-0.000159826
57,0.0,0.0,-2.85,-0.000161739
58,0.0,0.0,-2.9000000000000004,-0.0001638
59,0.0,0.0,-2.95,-0.000165794
60,0.0,0.0,-3.0,-0.000167819
61,0.0,0.0,-3.0500000000000003,-0.000169781
62,0.0,0.0,-3.1,-0.000171826
63,0.0,0.0,-3.1500000000000004,-0.000173652
64,0.0,0.0,-3.2,-0.000175615
65,0.0,0.0,-3.25,-0.000177354
66,0.0,0.0,-3.3000000000000003,-0.000179023
67,0.0,0.0,-3.35,-0.000180885
68,0.0,0.0,-3.4000000000000004,-0.000182767
69,0.0,0.0,-3.45,-0.000184423
70,0.0,0.0,-3.5,-0.000186757
71,0.0,0.0,-3.5500000000000003,-0.000190311
72,0.0,0.0,-3.6,-0.000191614
73,0.0,0.0,-3.6500000000000004,-0.000192979
74,0.0,0.0,-3.7,-0.000194231
75,0.0,0.0,-3.75,-0.000195589
76,0.0,0.0,-3.8000000000000003,-0.000196741
77,0.0,0.0,-3.85,-0.000198288
78,0.0,0.0,-3.9000000000000004,-0.000199208
79,0.0,0.0,-3.95,-0.000200053
80,0.0,0.0,-4.0,-0.000201002
81,0.0,0.0,-4.05,-0.000201814
82,0.0,0.0,-4.1000000000000005,-0.000202556
83,0.0,0.0,-4.15,-0.00020322
84,0.0,0.0,-4.2,-0.000203779
85,0.0,0.0,-4.25,-0.0002043
86,0.0,0.0,-4.3,-0.000204826
87,0.0,0.0,-4.3500000000000005,-0.000205301
88,0.0,0.0,-4.4,-0.000205658
89,0.0,0.0,-4.45,-0.000205877
90,0.0,0.0,-4.5,-0.000206128
91,0.0,0.0,-4.55,-0.000206323
92,0.0,0.0,-4.6000000000000005,-0.000206504
93,0.0,0.0,-4.65,-0.000206655
94,0.0,0.0,-4.7,-0.000206769
95,0.0,0.0,-4.75,-0.000206866
96,0.0,0.0,-4.800000000000001,-0.000206947
97,0.0,0.0,-4.8500000000000005,-0.00020702
98,0.0,0.0,-4.9,-0.000207079
99,0.0,0.0,-4.95,-0.000207133
100,0.0,0.0,-5.0,-0.000207209
