,vs,vg,vd,id
0,0.0,0.0,0.0,5.33158e-08
1,0.0,0.0,-0.05,-1.71357e-05
2,0.0,0.0,-0.1,-3.4221e-05
3,0.0,0.0,-0.15000000000000002,-5.10609e-05
4,0.0,0.0,-0.2,-6.76777e-05
5,0.0,0.0,-0.25,-8.40322e-05
6,0.0,0.0,-0.30000000000000004,-0.000100128
7,0.0,0.0,-0.35000000000000003,-0.000115985
8,0.0,0.0,-0.4,-0.000131612
9,0.0,0.0,-0.45,-0.000146987
10,0.0,0.0,-0.5,-0.000162146
11,0.0,0.0,-0.55,-0.000177037
12,0.0,0.0,-0.6000000000000001,-0.000191665
13,0.0,0.0,-0.65,-0.000206079
14,0.0,0.0,-0.7000000000000001,-0.00022022
15,0.0,0.0,-0.75,-0.000234138
16,0.0,0.0,-0.8,-0.000247799
17,0.0,0.0,-0.8500000000000001,-0.000261219
18,0.0,0.0,-0.9,-0.000274391
19,0.0,0.0,-0.9500000000000001,-0.000287289
20,0.0,0.0,-1.0,-0.000299951
21,0.0,0.0,-1.05,-0.000312358
22,0.0,0.0,-1.1,-0.000324507
23,0.0,0.0,-1.1500000000000001,-0.000336406
24,0.0,0.0,-1.2000000000000002,-0.000348051
25,0.0,0.0,-1.25,-0.000359425
26,0.0,0.0,-1.3,-0.000370534
27,0.0,0.0,-1.35,-0.000381366
28,0.0,0.0,-1.4000000000000001,-0.000391949
29,0.0,0.0,-1.4500000000000002,-0.000402253
30,0.0,0.0,-1.5,-0.000412289
31,0.0,0.0,-1.55,-0.000422056
32,0.0,0.0,-1.6,-0.000431549
33,0.0,0.0,-1.6500000000000001,-0.000440753
34,0.0,0.0,-1.7000000000000002,-0.000449671
35,0.0,0.0,-1.75,-0.0004583
36,0.0,0.0,-1.8,-0.000466645
37,0.0,0.0,-1.85,-0.000474713
38,0.0,0.0,-1.9000000000000001,-0.000482471
39,0.0,0.0,-1.9500000000000002,-0.000489936
40,0.0,0.0,-2.0,-0.000497082
41,0.0,0.0,-2.0500000000000003,-0.000503941
42,0.0,0.0,-2.1,-0.000510488
43,0.0,0.0,-2.15,-0.000516719
44,0.0,0.0,-2.2,-0.00052264
45,0.0,0.0,-2.25,-0.000528221
46,0.0,0.0,-2.3000000000000003,-0.000533502
47,0.0,0.0,-2.35,-0.000538459
48,0.0,0.0,-2.4000000000000004,-0.000543094
49,0.0,0.0,-2.45,-0.000547393
50,0.0,0.0,-2.5,-0.000551361
51,0.0,0.0,-2.5500000000000003,-0.000555011
52,0.0,0.0,-2.6,-0.000558337
53,0.0,0.0,-2.6500000000000004,-0.000561325
54,0.0,0.0,-2.7,-0.000564012
55,0.0,0.0,-2.75,-0.000566382
56,0.0,0.0,-2.8000000000000003,-0.000568481
57,0.0,0.0,-2.85,-0.000570302
58,0.0,0.0,-2.9000000000000004,-0.000571848
59,0.0,0.0,-2.95,-0.000573175
60,0.0,0.0,-3.0,-0.000574271
61,0.0,0.0,-3.0500000000000003,-0.000575226
62,0.0,0.0,-3.1,-0.000576018
63,0.0,0.0,-3.1500000000000004,-0.000576689
64,0.0,0.0,-3.2,-0.000577239
65,0.0,0.0,-3.25,-0.0005777
66,0.0,0.0,-3.3000000000000003,-0.000578109
67,0.0,0.0,-3.35,-0.000578449
68,0.0,0.0,-3.4000000000000004,-0.000578743
69,0.0,0.0,-3.45,-0.000579004
70,0.0,0.0,-3.5,-0.000579206
71,0.0,0.0,-3.5500000000000003,-0.000579419
72,0.0,0.0,-3.6,-0.000579611
73,0.0,0.0,-3.6500000000000004,-0.000579775
74,0.0,0.0,-3.7,-0.000579923
75,0.0,0.0,-3.75,-0.000580082
76,0.0,0.0,-3.8000000000000003,-0.000580214
77,0.0,0.0,-3.85,-0.000580356
78,0.0,0.0,-3.9000000000000004,-0.000580477
79,0.0,0.0,-3.95,-0.000580593
80,0.0,0.0,-4.0,-0.0005807
81,0.0,0.0,-4.05,-0.000580809
82,0.0,0.0,-4.1000000000000005,-0.000580894
83,0.0,0.0,-4.15,-0.000581004
84,0.0,0.0,-4.2,-0.000581116
85,0.0,0.0,-4.25,-0.000581196
86,0.0,0.0,-4.3,-0.000581288
87,0.0,0.0,-4.3500000000000005,-0.0005813
88,0.0,0.0,-4.4,-0.000581413
89,0.0,0.0,-4.45,-0.000581522
90,0.0,0.0,-4.5,-0.000581615
91,0.0,0.0,-4.55,-0.000581705
92,0.0,0.0,-4.6000000000000005,-0.000581782
93,0.0,0.0,-4.65,-0.000581865
94,0.0,0.0,-4.7,-0.000581941
95,0.0,0.0,-4.75,-0.00058203
96,0.0,0.0,-4.800000000000001,-0.000582088
97,0.0,0.0,-4.8500000000000005,-0.000582165
98,0.0,0.0,-4.9,-0.000582239
99,0.0,0.0,-4.95,-0.000582307
100,0.0,0.0,-5.0,-0.000582375
