,vs,vg,vd,id
0,0.0,0.0,0.0,1.70097e-08
1,0.0,0.0,-0.05,-3.96663e-06
2,0.0,0.0,-0.1,-7.92397e-06
3,0.0,0.0,-0.15000000000000002,-1.1819e-05
4,0.0,0.0,-0.2,-1.56625e-05
5,0.0,0.0,-0.25,-1.94408e-05
6,0.0,0.0,-0.30000000000000004,-2.31613e-05
7,0.0,0.0,-0.35000000000000003,-2.68208e-05
8,0.0,0.0,-0.4,-3.04297e-05
9,0.0,0.0,-0.45,-3.39759e-05
10,0.0,0.0,-0.5,-3.74698e-05
11,0.0,0.0,-0.55,-4.09069e-05
12,0.0,0.0,-0.6000000000000001,-4.4286e-05
13,0.0,0.0,-0.65,-4.76094e-05
14,0.0,0.0,-0.7000000000000001,-5.087e-05
15,0.0,0.0,-0.75,-5.40756e-05
16,0.0,0.0,-0.8,-5.72263e-05
17,0.0,0.0,-0.8500000000000001,-6.03204e-05
18,0.0,0.0,-0.9,-6.33618e-05
19,0.0,0.0,-0.9500000000000001,-6.6347e-05
20,0.0,0.0,-1.0,-6.92708e-05
21,0.0,0.0,-1.05,-7.21476e-05
22,0.0,0.0,-1.1,-7.49575e-05
23,0.0,0.0,-1.1500000000000001,-7.77021e-05
24,0.0,0.0,-1.2000000000000002,-8.03913e-05
25,0.0,0.0,-1.25,-8.30329e-05
26,0.0,0.0,-1.3,-8.56151e-05
27,0.0,0.0,-1.35,-8.81367e-05
28,0.0,0.0,-1.4000000000000001,-9.05991e-05
29,0.0,0.0,-1.4500000000000002,-9.29887e-05
30,0.0,0.0,-1.5,-9.53286e-05
31,0.0,0.0,-1.55,-9.76199e-05
32,0.0,0.0,-1.6,-9.9844e-05
33,0.0,0.0,-1.6500000000000001,-0.000101994
34,0.0,0.0,-1.7000000000000002,-0.000104093
35,0.0,0.0,-1.75,-0.000106128
36,0.0,0.0,-1.8,-0.000108108
37,0.0,0.0,-1.85,-0.000110023
38,0.0,0.0,-1.9000000000000001,-0.000111868
39,0.0,0.0,-1.9500000000000002,-0.000113648
40,0.0,0.0,-2.0,-0.000115363
41,0.0,0.0,-2.0500000000000003,-0.00011701
42,0.0,0.0,-2.1,-0.000118593
43,0.0,0.0,-2.15,-0.000120117
44,0.0,0.0,-2.2,-0.000121573
45,0.0,0.0,-2.25,-0.000122948
46,0.0,0.0,-2.3000000000000003,-0.000124256
47,0.0,0.0,-2.35,-0.000125501
48,0.0,0.0,-2.4000000000000004,-0.00012668
49,0.0,0.0,-2.45,-0.000127792
50,0.0,0.0,-2.5,-0.000128828
51,0.0,0.0,-2.5500000000000003,-0.000129753
52,0.0,0.0,-2.6,-0.000130649
53,0.0,0.0,-2.6500000000000004,-0.000131464
54,0.0,0.0,-2.7,-0.0001322
55,0.0,0.0,-2.75,-0.000132865
56,0.0,0.0,-2.8000000000000003,-0.000133446
57,0.0,0.0,-2.85,-0.000133961
58,0.0,0.0,-2.9000000000000004,-0.000134406
59,0.0,0.0,-2.95,-0.000134774
60,0.0,0.0,-3.0,-0.00013506
61,0.0,0.0,-3.0500000000000003,-0.000135303
62,0.0,0.0,-3.1,-0.00013552
63,0.0,0.0,-3.1500000000000004,-0.000135677
64,0.0,0.0,-3.2,-0.000135795
65,0.0,0.0,-3.25,-0.000135888
66,0.0,0.0,-3.3000000000000003,-0.00013596
67,0.0,0.0,-3.35,-0.000136035
68,0.0,0.0,-3.4000000000000004,-0.000136088
69,0.0,0.0,-3.45,-0.000136134
70,0.0,0.0,-3.5,-0.000136178
71,0.0,0.0,-3.5500000000000003,-0.000136217
72,0.0,0.0,-3.6,-0.000136253
73,0.0,0.0,-3.6500000000000004,-0.000136291
74,0.0,0.0,-3.7,-0.000136326
75,0.0,0.0,-3.75,-0.000136354
76,0.0,0.0,-3.8000000000000003,-0.000136382
77,0.0,0.0,-3.85,-0.000136404
78,0.0,0.0,-3.9000000000000004,-0.000136434
79,0.0,0.0,-3.95,-0.000136465
80,0.0,0.0,-4.0,-0.000136493
81,0.0,0.0,-4.05,-0.00013652
82,0.0,0.0,-4.1000000000000005,-0.000136543
83,0.0,0.0,-4.15,-0.000136559
84,0.0,0.0,-4.2,-0.000136582
85,0.0,0.0,-4.25,-0.000136608
86,0.0,0.0,-4.3,-0.000136638
87,0.0,0.0,-4.3500000000000005,-0.000136659
88,0.0,0.0,-4.4,-0.000136679
89,0.0,0.0,-4.45,-0.000136702
90,0.0,0.0,-4.5,-0.000136723
91,0.0,0.0,-4.55,-0.000136752
92,0.0,0.0,-4.6000000000000005,-0.000136768
93,0.0,0.0,-4.65,-0.00013677
94,0.0,0.0,-4.7,-0.000136795
95,0.0,0.0,-4.75,-0.000136822
96,0.0,0.0,-4.800000000000001,-0.00013684
97,0.0,0.0,-4.8500000000000005,-0.000136853
98,0.0,0.0,-4.9,-0.000136866
99,0.0,0.0,-4.95,-0.000136864
100,0.0,0.0,-5.0,-0.000136874
