,vs,vg,vd,id
0,0.0,0.0,0.0,6.53854e-09
1,0.0,0.0,-0.05,-2.97258e-06
2,0.0,0.0,-0.1,-5.91797e-06
3,0.0,0.0,-0.15000000000000002,-8.81417e-06
4,0.0,0.0,-0.2,-1.16484e-05
5,0.0,0.0,-0.25,-1.4437e-05
6,0.0,0.0,-0.30000000000000004,-1.71656e-05
7,0.0,0.0,-0.35000000000000003,-1.98198e-05
8,0.0,0.0,-0.4,-2.24443e-05
9,0.0,0.0,-0.45,-2.49946e-05
10,0.0,0.0,-0.5,-2.74966e-05
11,0.0,0.0,-0.55,-2.99541e-05
12,0.0,0.0,-0.6000000000000001,-3.23616e-05
13,0.0,0.0,-0.65,-3.47152e-05
14,0.0,0.0,-0.7000000000000001,-3.70213e-05
15,0.0,0.0,-0.75,-3.92544e-05
16,0.0,0.0,-0.8,-4.14565e-05
17,0.0,0.0,-0.8500000000000001,-4.36013e-05
18,0.0,0.0,-0.9,-4.56905e-05
19,0.0,0.0,-0.9500000000000001,-4.77107e-05
20,0.0,0.0,-1.0,-4.96905e-05
21,0.0,0.0,-1.05,-5.16088e-05
22,0.0,0.0,-1.1,-5.3457e-05
23,0.0,0.0,-1.1500000000000001,-5.52579e-05
24,0.0,0.0,-1.2000000000000002,-5.70557e-05
25,0.0,0.0,-1.25,-5.87563e-05
26,0.0,0.0,-1.3,-6.04007e-05
27,0.0,0.0,-1.35,-6.19326e-05
28,0.0,0.0,-1.4000000000000001,-6.3461e-05
29,0.0,0.0,-1.4500000000000002,-6.49472e-05
30,0.0,0.0,-1.5,-6.63589e-05
31,0.0,0.0,-1.55,-6.76767e-05
32,0.0,0.0,-1.6,-6.89486e-05
33,0.0,0.0,-1.6500000000000001,-7.01938e-05
34,0.0,0.0,-1.7000000000000002,-7.13926e-05
35,0.0,0.0,-1.75,-7.24796e-05
36,0.0,0.0,-1.8,-7.35178e-05
37,0.0,0.0,-1.85,-7.44994e-05
38,0.0,0.0,-1.9000000000000001,-7.54603e-05
39,0.0,0.0,-1.9500000000000002,-7.63245e-05
40,0.0,0.0,-2.0,-7.70765e-05
41,0.0,0.0,-2.0500000000000003,-7.77839e-05
42,0.0,0.0,-2.1,-7.84818e-05
43,0.0,0.0,-2.15,-7.90616e-05
44,0.0,0.0,-2.2,-7.95702e-05
45,0.0,0.0,-2.25,-8.00397e-05
46,0.0,0.0,-2.3000000000000003,-8.04698e-05
47,0.0,0.0,-2.35,-8.08072e-05
48,0.0,0.0,-2.4000000000000004,-8.10636e-05
49,0.0,0.0,-2.45,-8.1252e-05
50,0.0,0.0,-2.5,-8.14219e-05
51,0.0,0.0,-2.5500000000000003,-8.15333e-05
52,0.0,0.0,-2.6,-8.15938e-05
53,0.0,0.0,-2.6500000000000004,-8.1656e-05
54,0.0,0.0,-2.7,-8.17084e-05
55,0.0,0.0,-2.75,-8.17595e-05
56,0.0,0.0,-2.8000000000000003,-8.17791e-05
57,0.0,0.0,-2.85,-8.17865e-05
58,0.0,0.0,-2.9000000000000004,-8.18416e-05
59,0.0,0.0,-2.95,-8.18945e-05
60,0.0,0.0,-3.0,-8.1858e-05
61,0.0,0.0,-3.0500000000000003,-8.18761e-05
62,0.0,0.0,-3.1,-8.18965e-05
63,0.0,0.0,-3.1500000000000004,-8.19106e-05
64,0.0,0.0,-3.2,-8.19692e-05
65,0.0,0.0,-3.25,-8.19676e-05
66,0.0,0.0,-3.3000000000000003,-8.19682e-05
67,0.0,0.0,-3.35,-8.19821e-05
68,0.0,0.0,-3.4000000000000004,-8.19952e-05
69,0.0,0.0,-3.45,-8.20203e-05
70,0.0,0.0,-3.5,-8.20497e-05
71,0.0,0.0,-3.5500000000000003,-8.20542e-05
72,0.0,0.0,-3.6,-8.20798e-05
73,0.0,0.0,-3.6500000000000004,-8.20672e-05
74,0.0,0.0,-3.7,-8.20826e-05
75,0.0,0.0,-3.75,-8.20833e-05
76,0.0,0.0,-3.8000000000000003,-8.20955e-05
77,0.0,0.0,-3.85,-8.21249e-05
78,0.0,0.0,-3.9000000000000004,-8.21713e-05
79,0.0,0.0,-3.95,-8.215e-05
80,0.0,0.0,-4.0,-8.21665e-05
81,0.0,0.0,-4.05,-8.21872e-05
82,0.0,0.0,-4.1000000000000005,-8.21872e-05
83,0.0,0.0,-4.15,-8.21959e-05
84,0.0,0.0,-4.2,-8.22044e-05
85,0.0,0.0,-4.25,-8.22306e-05
86,0.0,0.0,-4.3,-8.22588e-05
87,0.0,0.0,-4.3500000000000005,-8.22835e-05
88,0.0,0.0,-4.4,-8.2326e-05
89,0.0,0.0,-4.45,-8.23234e-05
90,0.0,0.0,-4.5,-8.22631e-05
91,0.0,0.0,-4.55,-8.22556e-05
92,0.0,0.0,-4.6000000000000005,-8.22986e-05
93,0.0,0.0,-4.65,-8.23071e-05
94,0.0,0.0,-4.7,-8.23295e-05
95,0.0,0.0,-4.75,-8.23377e-05
96,0.0,0.0,-4.800000000000001,-8.23092e-05
97,0.0,0.0,-4.8500000000000005,-8.23484e-05
98,0.0,0.0,-4.9,-8.23358e-05
99,0.0,0.0,-4.95,-8.23616e-05
100,0.0,0.0,-5.0,-8.23741e-05
