,vs,vg,vd,id
0,0.0,0.0,0.0,2.93375e-09
1,0.0,0.0,-0.05,-2.74073e-06
2,0.0,0.0,-0.1,-5.45416e-06
3,0.0,0.0,-0.15000000000000002,-8.11911e-06
4,0.0,0.0,-0.2,-1.07359e-05
5,0.0,0.0,-0.25,-1.32981e-05
6,0.0,0.0,-0.30000000000000004,-1.58038e-05
7,0.0,0.0,-0.35000000000000003,-1.82603e-05
8,0.0,0.0,-0.4,-2.0667e-05
9,0.0,0.0,-0.45,-2.30289e-05
10,0.0,0.0,-0.5,-2.53453e-05
11,0.0,0.0,-0.55,-2.76064e-05
12,0.0,0.0,-0.6000000000000001,-2.98175e-05
13,0.0,0.0,-0.65,-3.20001e-05
14,0.0,0.0,-0.7000000000000001,-3.41052e-05
15,0.0,0.0,-0.75,-3.61518e-05
16,0.0,0.0,-0.8,-3.81677e-05
17,0.0,0.0,-0.8500000000000001,-4.01423e-05
18,0.0,0.0,-0.9,-4.20721e-05
19,0.0,0.0,-0.9500000000000001,-4.39307e-05
20,0.0,0.0,-1.0,-4.57672e-05
21,0.0,0.0,-1.05,-4.75501e-05
22,0.0,0.0,-1.1,-4.92425e-05
23,0.0,0.0,-1.1500000000000001,-5.08629e-05
24,0.0,0.0,-1.2000000000000002,-5.24442e-05
25,0.0,0.0,-1.25,-5.4026e-05
26,0.0,0.0,-1.3,-5.55495e-05
27,0.0,0.0,-1.35,-5.70138e-05
28,0.0,0.0,-1.4000000000000001,-5.84311e-05
29,0.0,0.0,-1.4500000000000002,-5.97916e-05
30,0.0,0.0,-1.5,-6.10918e-05
31,0.0,0.0,-1.55,-6.23306e-05
32,0.0,0.0,-1.6,-6.35258e-05
33,0.0,0.0,-1.6500000000000001,-6.46654e-05
34,0.0,0.0,-1.7000000000000002,-6.57525e-05
35,0.0,0.0,-1.75,-6.67605e-05
36,0.0,0.0,-1.8,-6.77608e-05
37,0.0,0.0,-1.85,-6.86589e-05
38,0.0,0.0,-1.9000000000000001,-6.94628e-05
39,0.0,0.0,-1.9500000000000002,-7.02644e-05
40,0.0,0.0,-2.0,-7.10546e-05
41,0.0,0.0,-2.0500000000000003,-7.17289e-05
42,0.0,0.0,-2.1,-7.23492e-05
43,0.0,0.0,-2.15,-7.29295e-05
44,0.0,0.0,-2.2,-7.34894e-05
45,0.0,0.0,-2.25,-7.39456e-05
46,0.0,0.0,-2.3000000000000003,-7.43445e-05
47,0.0,0.0,-2.35,-7.46786e-05
48,0.0,0.0,-2.4000000000000004,-7.49425e-05
49,0.0,0.0,-2.45,-7.51483e-05
50,0.0,0.0,-2.5,-7.53302e-05
51,0.0,0.0,-2.5500000000000003,-7.54879e-05
52,0.0,0.0,-2.6,-7.5633e-05
53,0.0,0.0,-2.6500000000000004,-7.57243e-05
54,0.0,0.0,-2.7,-7.57914e-05
55,0.0,0.0,-2.75,-7.58282e-05
56,0.0,0.0,-2.8000000000000003,-7.58408e-05
57,0.0,0.0,-2.85,-7.58672e-05
58,0.0,0.0,-2.9000000000000004,-7.5882e-05
59,0.0,0.0,-2.95,-7.59239e-05
60,0.0,0.0,-3.0,-7.59745e-05
61,0.0,0.0,-3.0500000000000003,-7.59997e-05
62,0.0,0.0,-3.1,-7.60136e-05
63,0.0,0.0,-3.1500000000000004,-7.59958e-05
64,0.0,0.0,-3.2,-7.60131e-05
65,0.0,0.0,-3.25,-7.60506e-05
66,0.0,0.0,-3.3000000000000003,-7.60664e-05
67,0.0,0.0,-3.35,-7.60716e-05
68,0.0,0.0,-3.4000000000000004,-7.60875e-05
69,0.0,0.0,-3.45,-7.60753e-05
70,0.0,0.0,-3.5,-7.60665e-05
71,0.0,0.0,-3.5500000000000003,-7.60915e-05
72,0.0,0.0,-3.6,-7.61228e-05
73,0.0,0.0,-3.6500000000000004,-7.61409e-05
74,0.0,0.0,-3.7,-7.61525e-05
75,0.0,0.0,-3.75,-7.61685e-05
76,0.0,0.0,-3.8000000000000003,-7.61854e-05
77,0.0,0.0,-3.85,-7.61933e-05
78,0.0,0.0,-3.9000000000000004,-7.62063e-05
79,0.0,0.0,-3.95,-7.61823e-05
80,0.0,0.0,-4.0,-7.62196e-05
81,0.0,0.0,-4.05,-7.62491e-05
82,0.0,0.0,-4.1000000000000005,-7.6265e-05
83,0.0,0.0,-4.15,-7.62517e-05
84,0.0,0.0,-4.2,-7.62505e-05
85,0.0,0.0,-4.25,-7.62618e-05
86,0.0,0.0,-4.3,-7.6256e-05
87,0.0,0.0,-4.3500000000000005,-7.62775e-05
88,0.0,0.0,-4.4,-7.62915e-05
89,0.0,0.0,-4.45,-7.63008e-05
90,0.0,0.0,-4.5,-7.63167e-05
91,0.0,0.0,-4.55,-7.63336e-05
92,0.0,0.0,-4.6000000000000005,-7.63501e-05
93,0.0,0.0,-4.65,-7.6347e-05
94,0.0,0.0,-4.7,-7.63141e-05
95,0.0,0.0,-4.75,-7.63313e-05
96,0.0,0.0,-4.800000000000001,-7.63435e-05
97,0.0,0.0,-4.8500000000000005,-7.63596e-05
98,0.0,0.0,-4.9,-7.63762e-05
99,0.0,0.0,-4.95,-7.63993e-05
100,0.0,0.0,-5.0,-7.63963e-05
