,vs,vg,vd,id
0,0.0,0.0,0.0,1.13811e-07
1,0.0,0.0,-0.05,-2.04721e-05
2,0.0,0.0,-0.1,-4.09534e-05
3,0.0,0.0,-0.15000000000000002,-6.12565e-05
4,0.0,0.0,-0.2,-8.13519e-05
5,0.0,0.0,-0.25,-0.000101202
6,0.0,0.0,-0.30000000000000004,-0.000120863
7,0.0,0.0,-0.35000000000000003,-0.000140282
8,0.0,0.0,-0.4,-0.000159505
9,0.0,0.0,-0.45,-0.000178513
10,0.0,0.0,-0.5,-0.000197365
11,0.0,0.0,-0.55,-0.000215964
12,0.0,0.0,-0.6000000000000001,-0.000234338
13,0.0,0.0,-0.65,-0.000252518
14,0.0,0.0,-0.7000000000000001,-0.000270458
15,0.0,0.0,-0.75,-0.00028819
16,0.0,0.0,-0.8,-0.00030575
17,0.0,0.0,-0.8500000000000001,-0.000323127
18,0.0,0.0,-0.9,-0.000340202
19,0.0,0.0,-0.9500000000000001,-0.000357118
20,0.0,0.0,-1.0,-0.000373843
21,0.0,0.0,-1.05,-0.000390338
22,0.0,0.0,-1.1,-0.00040662
23,0.0,0.0,-1.1500000000000001,-0.000422722
24,0.0,0.0,-1.2000000000000002,-0.000438596
25,0.0,0.0,-1.25,-0.000454266
26,0.0,0.0,-1.3,-0.000469703
27,0.0,0.0,-1.35,-0.000484958
28,0.0,0.0,-1.4000000000000001,-0.000499986
29,0.0,0.0,-1.4500000000000002,-0.000514784
30,0.0,0.0,-1.5,-0.00052935
31,0.0,0.0,-1.55,-0.000543742
32,0.0,0.0,-1.6,-0.000557911
33,0.0,0.0,-1.6500000000000001,-0.000571812
34,0.0,0.0,-1.7000000000000002,-0.000585512
35,0.0,0.0,-1.75,-0.000598978
36,0.0,0.0,-1.8,-0.000612269
37,0.0,0.0,-1.85,-0.000625362
38,0.0,0.0,-1.9000000000000001,-0.000638186
39,0.0,0.0,-1.9500000000000002,-0.000650774
40,0.0,0.0,-2.0,-0.000663092
41,0.0,0.0,-2.0500000000000003,-0.000675197
42,0.0,0.0,-2.1,-0.000687117
43,0.0,0.0,-2.15,-0.000698811
44,0.0,0.0,-2.2,-0.00071022
45,0.0,0.0,-2.25,-0.000721393
46,0.0,0.0,-2.3000000000000003,-0.000732314
47,0.0,0.0,-2.35,-0.000743033
48,0.0,0.0,-2.4000000000000004,-0.000753452
49,0.0,0.0,-2.45,-0.000763724
50,0.0,0.0,-2.5,-0.000773577
51,0.0,0.0,-2.5500000000000003,-0.000783153
52,0.0,0.0,-2.6,-0.000792632
53,0.0,0.0,-2.6500000000000004,-0.000801902
54,0.0,0.0,-2.7,-0.000810824
55,0.0,0.0,-2.75,-0.000819531
56,0.0,0.0,-2.8000000000000003,-0.000828028
57,0.0,0.0,-2.85,-0.000836262
58,0.0,0.0,-2.9000000000000004,-0.000844263
59,0.0,0.0,-2.95,-0.000851985
60,0.0,0.0,-3.0,-0.000859421
61,0.0,0.0,-3.0500000000000003,-0.000866567
62,0.0,0.0,-3.1,-0.000873388
63,0.0,0.0,-3.1500000000000004,-0.000879898
64,0.0,0.0,-3.2,-0.000886154
65,0.0,0.0,-3.25,-0.000892193
66,0.0,0.0,-3.3000000000000003,-0.000897938
67,0.0,0.0,-3.35,-0.000903388
68,0.0,0.0,-3.4000000000000004,-0.000908755
69,0.0,0.0,-3.45,-0.000913706
70,0.0,0.0,-3.5,-0.000918343
71,0.0,0.0,-3.5500000000000003,-0.000922652
72,0.0,0.0,-3.6,-0.000926715
73,0.0,0.0,-3.6500000000000004,-0.000930521
74,0.0,0.0,-3.7,-0.000934039
75,0.0,0.0,-3.75,-0.000937284
76,0.0,0.0,-3.8000000000000003,-0.00094026
77,0.0,0.0,-3.85,-0.000942958
78,0.0,0.0,-3.9000000000000004,-0.00094538
79,0.0,0.0,-3.95,-0.000947413
80,0.0,0.0,-4.0,-0.000949247
81,0.0,0.0,-4.05,-0.000951027
82,0.0,0.0,-4.1000000000000005,-0.000952612
83,0.0,0.0,-4.15,-0.000953965
84,0.0,0.0,-4.2,-0.000955086
85,0.0,0.0,-4.25,-0.000955978
86,0.0,0.0,-4.3,-0.000956956
87,0.0,0.0,-4.3500000000000005,-0.000957697
88,0.0,0.0,-4.4,-0.000958354
89,0.0,0.0,-4.45,-0.000958932
90,0.0,0.0,-4.5,-0.000959459
91,0.0,0.0,-4.55,-0.000959995
92,0.0,0.0,-4.6000000000000005,-0.000960441
93,0.0,0.0,-4.65,-0.000960654
94,0.0,0.0,-4.7,-0.000960918
95,0.0,0.0,-4.75,-0.000961214
96,0.0,0.0,-4.800000000000001,-0.000961466
97,0.0,0.0,-4.8500000000000005,-0.000961798
98,0.0,0.0,-4.9,-0.000962003
99,0.0,0.0,-4.95,-0.000962203
100,0.0,0.0,-5.0,-0.000962382
