,vs,vg,vd,id
0,0.0,0.0,0.0,1.79667e-10
1,0.0,-0.5,-0.5,-5.19964e-07
2,0.0,-1.0,-1.0,-0.00288721
3,0.0,-1.5,-1.5,-0.010006
4,0.0,-2.0,-2.0,-0.0100062
5,0.0,-2.5,-2.5,-0.0100063
6,0.0,-3.0,-3.0,-0.0100065
7,0.0,-3.5,-3.5,-0.0100067
8,0.0,-4.0,-4.0,-0.0100069
9,0.0,-4.5,-4.5,-0.010007
10,0.0,-5.0,-5.0,-0.0100071
11,0.0,-5.5,-5.5,-0.0100073
12,0.0,-6.0,-6.0,-0.0100075
13,0.0,-6.5,-6.5,-0.0100076
14,0.0,-7.0,-7.0,-0.0100076
15,0.0,-7.5,-7.5,-0.0100078
16,0.0,-8.0,-8.0,-0.0100078
17,0.0,-8.5,-8.5,-0.0100078
18,0.0,-9.0,-9.0,-0.0100078
19,0.0,-9.5,-9.5,-0.0100079
20,0.0,-10.0,-10.0,-0.0100079
21,0.0,-10.5,-10.5,-0.010008
22,0.0,-11.0,-11.0,-0.010008
23,0.0,-11.5,-11.5,-0.0100081
24,0.0,-12.0,-12.0,-0.0100082
25,0.0,-12.5,-12.5,-0.0100082
