,vs,vg,vd,id
0,0.0,10.0,5.0,2.60708e-12
1,0.0,10.25,5.0,2.84452e-12
2,0.0,10.5,5.0,3.09434e-12
3,0.0,10.75,5.0,3.4647e-12
4,0.0,11.0,5.0,3.96004e-12
5,0.0,11.25,5.0,4.73592e-12
6,0.0,11.5,5.0,5.91629e-12
7,0.0,11.75,5.0,7.78271e-12
8,0.0,12.0,5.0,1.08151e-11
9,0.0,12.25,5.0,1.57031e-11
10,0.0,12.5,5.0,2.37806e-11
11,0.0,12.75,5.0,3.68552e-11
12,0.0,13.0,5.0,5.79271e-11
13,0.0,13.25,5.0,9.27155e-11
14,0.0,13.5,5.0,1.50635e-10
15,0.0,13.75,5.0,2.45401e-10
16,0.0,14.0,5.0,3.99551e-10
17,0.0,14.25,5.0,6.5418e-10
18,0.0,14.5,5.0,1.08148e-09
19,0.0,14.75,5.0,1.78163e-09
20,0.0,15.0,5.0,2.9547e-09
21,0.0,15.25,5.0,4.88178e-09
22,0.0,15.5,5.0,8.10658e-09
23,0.0,15.75,5.0,1.33316e-08
24,0.0,16.0,5.0,2.20529e-08
25,0.0,16.25,5.0,3.63737e-08
26,0.0,16.5,5.0,5.90598e-08
27,0.0,16.75,5.0,9.58763e-08
28,0.0,17.0,5.0,1.53512e-07
29,0.0,17.25,5.0,2.41991e-07
30,0.0,17.5,5.0,3.71038e-07
31,0.0,17.75,5.0,5.60725e-07
32,0.0,18.0,5.0,8.27556e-07
33,0.0,18.25,5.0,1.1849e-06
34,0.0,18.5,5.0,1.66614e-06
35,0.0,18.75,5.0,2.28615e-06
36,0.0,19.0,5.0,3.06664e-06
37,0.0,19.25,5.0,4.01764e-06
38,0.0,19.5,5.0,5.17572e-06
39,0.0,19.75,5.0,6.56062e-06
40,0.0,20.0,5.0,8.14454e-06
41,0.0,20.25,5.0,9.99721e-06
42,0.0,20.5,5.0,1.2111e-05
43,0.0,20.75,5.0,1.44882e-05
44,0.0,21.0,5.0,1.71261e-05
45,0.0,21.25,5.0,2.00866e-05
46,0.0,21.5,5.0,2.33319e-05
47,0.0,21.75,5.0,2.68529e-05
48,0.0,22.0,5.0,3.07333e-05
49,0.0,22.25,5.0,3.49103e-05
50,0.0,22.5,5.0,3.94017e-05
51,0.0,22.75,5.0,4.41612e-05
52,0.0,23.0,5.0,4.93333e-05
53,0.0,23.25,5.0,5.48321e-05
54,0.0,23.5,5.0,6.06196e-05
55,0.0,23.75,5.0,6.68059e-05
56,0.0,24.0,5.0,7.33304e-05
57,0.0,24.25,5.0,8.01228e-05
58,0.0,24.5,5.0,8.73502e-05
59,0.0,24.75,5.0,9.49468e-05
60,0.0,25.0,5.0,0.000102889
61,0.0,25.25,5.0,0.000111093
62,0.0,25.5,5.0,0.000119729
63,0.0,25.75,5.0,0.000128728
64,0.0,26.0,5.0,0.000137987
65,0.0,26.25,5.0,0.000147725
66,0.0,26.5,5.0,0.0001578
67,0.0,26.75,5.0,0.000168312
68,0.0,27.0,5.0,0.00017903
69,0.0,27.25,5.0,0.000190212
70,0.0,27.5,5.0,0.000201832
71,0.0,27.75,5.0,0.000213678
72,0.0,28.0,5.0,0.000225991
73,0.0,28.25,5.0,0.00023875
74,0.0,28.5,5.0,0.000251827
75,0.0,28.75,5.0,0.000265092
76,0.0,29.0,5.0,0.000278917
77,0.0,29.25,5.0,0.000293188
78,0.0,29.5,5.0,0.0003076
79,0.0,29.75,5.0,0.000322616
80,0.0,30.0,5.0,0.000337926
81,0.0,30.25,5.0,0.000353685
82,0.0,30.5,5.0,0.000369632
83,0.0,30.75,5.0,0.000386124
84,0.0,31.0,5.0,0.000403027
85,0.0,31.25,5.0,0.000420148
86,0.0,31.5,5.0,0.000437846
87,0.0,31.75,5.0,0.000455898
88,0.0,32.0,5.0,0.000474355
89,0.0,32.25,5.0,0.00049297
90,0.0,32.5,5.0,0.000512145
91,0.0,32.75,5.0,0.000531751
92,0.0,33.0,5.0,0.000551498
93,0.0,33.25,5.0,0.000571869
94,0.0,33.5,5.0,0.000592641
95,0.0,33.75,5.0,0.000613853
96,0.0,34.0,5.0,0.000635174
97,0.0,34.25,5.0,0.000657183
98,0.0,34.5,5.0,0.000679522
99,0.0,34.75,5.0,0.000702016
100,0.0,35.0,5.0,0.0007251
101,0.0,35.25,5.0,0.000748655
102,0.0,35.5,5.0,0.000772311
103,0.0,35.75,5.0,0.000796627
104,0.0,36.0,5.0,0.000821307
105,0.0,36.25,5.0,0.00084644
106,0.0,36.5,5.0,0.000871625
107,0.0,36.75,5.0,0.000897464
108,0.0,37.0,5.0,0.000923798
109,0.0,37.25,5.0,0.000950177
110,0.0,37.5,5.0,0.000977192
111,0.0,37.75,5.0,0.0010048
112,0.0,38.0,5.0,0.0010327
113,0.0,38.25,5.0,0.00106067
114,0.0,38.5,5.0,0.00108925
115,0.0,38.75,5.0,0.00111822
116,0.0,39.0,5.0,0.00114745
117,0.0,39.25,5.0,0.00117732
118,0.0,39.5,5.0,0.00120754
119,0.0,39.75,5.0,0.00123818
120,0.0,40.0,5.0,0.00126891
121,0.0,40.25,5.0,0.00130039
122,0.0,40.5,5.0,0.00133226
123,0.0,40.75,5.0,0.00136416
124,0.0,41.0,5.0,0.00139688
125,0.0,41.25,5.0,0.00142989
126,0.0,41.5,5.0,0.00146345
127,0.0,41.75,5.0,0.00149697
128,0.0,42.0,5.0,0.00153129
129,0.0,42.25,5.0,0.00156593
130,0.0,42.5,5.0,0.00160072
131,0.0,42.75,5.0,0.00163636
132,0.0,43.0,5.0,0.00167229
133,0.0,43.25,5.0,0.00170859
134,0.0,43.5,5.0,0.0017447
135,0.0,43.75,5.0,0.00178182
136,0.0,44.0,5.0,0.00181936
137,0.0,44.25,5.0,0.00185696
138,0.0,44.5,5.0,0.00189535
139,0.0,44.75,5.0,0.00193398
140,0.0,45.0,5.0,0.00197314
