,vs,vg,vd,id
0,0.0,0.0,-5.0,-1.04347e-12
1,0.0,-0.05,-5.0,-1.02229e-12
2,0.0,-0.1,-5.0,-9.62114e-13
3,0.0,-0.15000000000000002,-5.0,-9.2051e-13
4,0.0,-0.2,-5.0,-8.8141e-13
5,0.0,-0.25,-5.0,-9.19128e-13
6,0.0,-0.30000000000000004,-5.0,-1.07617e-12
7,0.0,-0.35000000000000003,-5.0,-1.58868e-12
8,0.0,-0.4,-5.0,-3.00106e-12
9,0.0,-0.45,-5.0,-7.64221e-12
10,0.0,-0.5,-5.0,-2.29397e-11
11,0.0,-0.55,-5.0,-7.26231e-11
12,0.0,-0.6000000000000001,-5.0,-2.21537e-10
13,0.0,-0.65,-5.0,-7.47063e-10
14,0.0,-0.7000000000000001,-5.0,-2.53774e-09
15,0.0,-0.75,-5.0,-8.52789e-09
16,0.0,-0.8,-5.0,-2.55491e-08
17,0.0,-0.8500000000000001,-5.0,-7.51555e-08
18,0.0,-0.9,-5.0,-1.9277e-07
19,0.0,-0.9500000000000001,-5.0,-4.24823e-07
20,0.0,-1.0,-5.0,-7.83627e-07
21,0.0,-1.05,-5.0,-1.34921e-06
22,0.0,-1.1,-5.0,-2.12167e-06
23,0.0,-1.1500000000000001,-5.0,-3.12305e-06
24,0.0,-1.2000000000000002,-5.0,-4.27291e-06
25,0.0,-1.25,-5.0,-5.73954e-06
26,0.0,-1.3,-5.0,-7.43771e-06
27,0.0,-1.35,-5.0,-9.38824e-06
28,0.0,-1.4000000000000001,-5.0,-1.14347e-05
29,0.0,-1.4500000000000002,-5.0,-1.38433e-05
30,0.0,-1.5,-5.0,-1.64902e-05
31,0.0,-1.55,-5.0,-1.93632e-05
32,0.0,-1.6,-5.0,-2.22773e-05
33,0.0,-1.6500000000000001,-5.0,-2.56245e-05
34,0.0,-1.7000000000000002,-5.0,-2.91734e-05
35,0.0,-1.75,-5.0,-3.29259e-05
36,0.0,-1.8,-5.0,-3.66903e-05
37,0.0,-1.85,-5.0,-4.08364e-05
38,0.0,-1.9000000000000001,-5.0,-4.52378e-05
39,0.0,-1.9500000000000002,-5.0,-4.98451e-05
40,0.0,-2.0,-5.0,-5.43377e-05
41,0.0,-2.0500000000000003,-5.0,-5.93063e-05
42,0.0,-2.1,-5.0,-6.45413e-05
43,0.0,-2.15,-5.0,-6.9563e-05
44,0.0,-2.2,-5.0,-7.51072e-05
45,0.0,-2.25,-5.0,-8.08419e-05
46,0.0,-2.3000000000000003,-5.0,-8.67597e-05
47,0.0,-2.35,-5.0,-9.24886e-05
48,0.0,-2.4000000000000004,-5.0,-9.87701e-05
49,0.0,-2.45,-5.0,-0.000105214
50,0.0,-2.5,-5.0,-0.000111834
51,0.0,-2.5500000000000003,-5.0,-0.000118184
52,0.0,-2.6,-5.0,-0.000125107
53,0.0,-2.6500000000000004,-5.0,-0.000132194
54,0.0,-2.7,-5.0,-0.000139418
55,0.0,-2.75,-5.0,-0.000146379
56,0.0,-2.8000000000000003,-5.0,-0.000153977
57,0.0,-2.85,-5.0,-0.000161684
58,0.0,-2.9000000000000004,-5.0,-0.000169535
59,0.0,-2.95,-5.0,-0.000177113
60,0.0,-3.0,-5.0,-0.000185307
61,0.0,-3.0500000000000003,-5.0,-0.000193667
62,0.0,-3.1,-5.0,-0.000202156
63,0.0,-3.1500000000000004,-5.0,-0.000210245
64,0.0,-3.2,-5.0,-0.000219016
65,0.0,-3.25,-5.0,-0.000227936
66,0.0,-3.3000000000000003,-5.0,-0.000236955
67,0.0,-3.35,-5.0,-0.000245601
68,0.0,-3.4000000000000004,-5.0,-0.000255
69,0.0,-3.45,-5.0,-0.000264449
70,0.0,-3.5,-5.0,-0.000273999
71,0.0,-3.5500000000000003,-5.0,-0.000283147
72,0.0,-3.6,-5.0,-0.000292962
73,0.0,-3.6500000000000004,-5.0,-0.000302899
74,0.0,-3.7,-5.0,-0.000312998
75,0.0,-3.75,-5.0,-0.00032258
76,0.0,-3.8000000000000003,-5.0,-0.000332953
77,0.0,-3.85,-5.0,-0.000343477
78,0.0,-3.9000000000000004,-5.0,-0.000354079
79,0.0,-3.95,-5.0,-0.000364119
80,0.0,-4.0,-5.0,-0.000374954
81,0.0,-4.05,-5.0,-0.000385961
82,0.0,-4.1000000000000005,-5.0,-0.000396302
83,0.0,-4.15,-5.0,-0.000407442
84,0.0,-4.2,-5.0,-0.000418767
85,0.0,-4.25,-5.0,-0.000430202
86,0.0,-4.3,-5.0,-0.000440985
87,0.0,-4.3500000000000005,-5.0,-0.000452585
88,0.0,-4.4,-5.0,-0.000464329
89,0.0,-4.45,-5.0,-0.000476189
90,0.0,-4.5,-5.0,-0.000487472
91,0.0,-4.55,-5.0,-0.000499494
92,0.0,-4.6000000000000005,-5.0,-0.000511639
93,0.0,-4.65,-5.0,-0.00052385
94,0.0,-4.7,-5.0,-0.000535435
95,0.0,-4.75,-5.0,-0.000547987
96,0.0,-4.800000000000001,-5.0,-0.000560569
97,0.0,-4.8500000000000005,-5.0,-0.000573251
98,0.0,-4.9,-5.0,-0.000585227
99,0.0,-4.95,-5.0,-0.000598107
100,0.0,-5.0,-5.0,-0.000611037
