,vs,vg,vd,id
0,0.0,10.0,5.0,2.16606e-11
1,0.0,10.25,5.0,2.38457e-11
2,0.0,10.5,5.0,2.61543e-11
3,0.0,10.75,5.0,2.94427e-11
4,0.0,11.0,5.0,3.4077e-11
5,0.0,11.25,5.0,4.10475e-11
6,0.0,11.5,5.0,5.11352e-11
7,0.0,11.75,5.0,6.69537e-11
8,0.0,12.0,5.0,9.18429e-11
9,0.0,12.25,5.0,1.2971e-10
10,0.0,12.5,5.0,1.88078e-10
11,0.0,12.75,5.0,2.81018e-10
12,0.0,13.0,5.0,4.22719e-10
13,0.0,13.25,5.0,6.463e-10
14,0.0,13.5,5.0,9.97641e-10
15,0.0,13.75,5.0,1.54802e-09
16,0.0,14.0,5.0,2.39954e-09
17,0.0,14.25,5.0,3.75228e-09
18,0.0,14.5,5.0,5.88761e-09
19,0.0,14.75,5.0,9.20062e-09
20,0.0,15.0,5.0,1.44532e-08
21,0.0,15.25,5.0,2.27263e-08
22,0.0,15.5,5.0,3.56858e-08
23,0.0,15.75,5.0,5.55719e-08
24,0.0,16.0,5.0,8.64699e-08
25,0.0,16.25,5.0,1.33692e-07
26,0.0,16.5,5.0,2.03371e-07
27,0.0,16.75,5.0,3.06495e-07
28,0.0,17.0,5.0,4.54422e-07
29,0.0,17.25,5.0,6.61603e-07
30,0.0,17.5,5.0,9.3941e-07
31,0.0,17.75,5.0,1.313e-06
32,0.0,18.0,5.0,1.79829e-06
33,0.0,18.25,5.0,2.40599e-06
34,0.0,18.5,5.0,3.16702e-06
35,0.0,18.75,5.0,4.08913e-06
36,0.0,19.0,5.0,5.19151e-06
37,0.0,19.25,5.0,6.47096e-06
38,0.0,19.5,5.0,7.9747e-06
39,0.0,19.75,5.0,9.69579e-06
40,0.0,20.0,5.0,1.16183e-05
41,0.0,20.25,5.0,1.37925e-05
42,0.0,20.5,5.0,1.62188e-05
43,0.0,20.75,5.0,1.8895e-05
44,0.0,21.0,5.0,2.17845e-05
45,0.0,21.25,5.0,2.49761e-05
46,0.0,21.5,5.0,2.84457e-05
47,0.0,21.75,5.0,3.21555e-05
48,0.0,22.0,5.0,3.619e-05
49,0.0,22.25,5.0,4.04975e-05
50,0.0,22.5,5.0,4.50726e-05
51,0.0,22.75,5.0,4.98913e-05
52,0.0,23.0,5.0,5.50512e-05
53,0.0,23.25,5.0,6.05264e-05
54,0.0,23.5,5.0,6.62378e-05
55,0.0,23.75,5.0,7.23352e-05
56,0.0,24.0,5.0,7.87134e-05
57,0.0,24.25,5.0,8.52993e-05
58,0.0,24.5,5.0,9.22927e-05
59,0.0,24.75,5.0,9.95974e-05
60,0.0,25.0,5.0,0.000107217
61,0.0,25.25,5.0,0.00011505
62,0.0,25.5,5.0,0.000123298
63,0.0,25.75,5.0,0.000131861
64,0.0,26.0,5.0,0.000140639
65,0.0,26.25,5.0,0.000149834
66,0.0,26.5,5.0,0.000159351
67,0.0,26.75,5.0,0.000169194
68,0.0,27.0,5.0,0.000179212
69,0.0,27.25,5.0,0.000189687
70,0.0,27.5,5.0,0.000200499
71,0.0,27.75,5.0,0.000211494
72,0.0,28.0,5.0,0.00022296
73,0.0,28.25,5.0,0.000234772
74,0.0,28.5,5.0,0.000246904
75,0.0,28.75,5.0,0.000259193
76,0.0,29.0,5.0,0.000271954
77,0.0,29.25,5.0,0.00028508
78,0.0,29.5,5.0,0.000298338
79,0.0,29.75,5.0,0.000312117
80,0.0,30.0,5.0,0.000326212
81,0.0,30.25,5.0,0.000340654
82,0.0,30.5,5.0,0.000355225
83,0.0,30.75,5.0,0.000370333
84,0.0,31.0,5.0,0.000385776
85,0.0,31.25,5.0,0.000401224
86,0.0,31.5,5.0,0.000416437
87,0.0,31.75,5.0,0.000432507
88,0.0,32.0,5.0,0.00044922
89,0.0,32.25,5.0,0.000466028
90,0.0,32.5,5.0,0.000483377
91,0.0,32.75,5.0,0.000501066
92,0.0,33.0,5.0,0.00051857
93,0.0,33.25,5.0,0.000536956
94,0.0,33.5,5.0,0.000555662
95,0.0,33.75,5.0,0.000574807
96,0.0,34.0,5.0,0.000593904
97,0.0,34.25,5.0,0.000613811
98,0.0,34.5,5.0,0.000633874
99,0.0,34.75,5.0,0.000653896
100,0.0,35.0,5.0,0.000674593
101,0.0,35.25,5.0,0.000695625
102,0.0,35.5,5.0,0.000716746
103,0.0,35.75,5.0,0.000738536
104,0.0,36.0,5.0,0.00076065
105,0.0,36.25,5.0,0.000783072
106,0.0,36.5,5.0,0.000805482
107,0.0,36.75,5.0,0.000828555
