,vs,vg,vd,id
0,0.0,0.0,-5.0,-3.118395841e-13
1,0.0,-0.05,-5.0,-2.8727056e-13
2,0.0,-0.1,-5.0,-2.678632869e-13
3,0.0,-0.15000000000000002,-5.0,-2.660632131e-13
4,0.0,-0.2,-5.0,-2.442002221e-13
5,0.0,-0.25,-5.0,-2.382278402e-13
6,0.0,-0.30000000000000004,-5.0,-2.30705754e-13
7,0.0,-0.35000000000000003,-5.0,-2.283692441e-13
8,0.0,-0.4,-5.0,-2.892374925e-13
9,0.0,-0.45,-5.0,-4.91189988e-13
10,0.0,-0.5,-5.0,-1.256680524e-12
11,0.0,-0.55,-5.0,-4.147446275e-12
12,0.0,-0.6000000000000001,-5.0,-1.46341203e-11
13,0.0,-0.65,-5.0,-5.789994179e-11
14,0.0,-0.7000000000000001,-5.0,-2.324904158e-10
15,0.0,-0.75,-5.0,-9.482683527e-10
16,0.0,-0.8,-5.0,-3.544213811e-09
17,0.0,-0.8500000000000001,-5.0,-1.378618464e-08
18,0.0,-0.9,-5.0,-4.836652323e-08
19,0.0,-0.9500000000000001,-5.0,-1.434546704e-07
20,0.0,-1.0,-5.0,-3.364930024e-07
21,0.0,-1.05,-5.0,-7.020806265e-07
22,0.0,-1.1,-5.0,-1.281359118e-06
23,0.0,-1.1500000000000001,-5.0,-2.103891347e-06
24,0.0,-1.2000000000000002,-5.0,-3.114327001e-06
25,0.0,-1.25,-5.0,-4.458478543e-06
26,0.0,-1.3,-5.0,-6.071530606e-06
27,0.0,-1.35,-5.0,-7.981551789e-06
28,0.0,-1.4000000000000001,-5.0,-1.002272347e-05
29,0.0,-1.4500000000000002,-5.0,-1.248997432e-05
30,0.0,-1.5,-5.0,-1.522480215e-05
31,0.0,-1.55,-5.0,-1.825398249e-05
32,0.0,-1.6,-5.0,-2.133313319e-05
33,0.0,-1.6500000000000001,-5.0,-2.487804886e-05
34,0.0,-1.7000000000000002,-5.0,-2.867785588e-05
35,0.0,-1.75,-5.0,-3.27709422e-05
36,0.0,-1.8,-5.0,-3.683358227e-05
37,0.0,-1.85,-5.0,-4.139803423e-05
38,0.0,-1.9000000000000001,-5.0,-4.620777327e-05
39,0.0,-1.9500000000000002,-5.0,-5.126701581e-05
40,0.0,-2.0,-5.0,-5.621864693e-05
41,0.0,-2.0500000000000003,-5.0,-6.173318252e-05
42,0.0,-2.1,-5.0,-6.75025949e-05
43,0.0,-2.15,-5.0,-7.308484055e-05
44,0.0,-2.2,-5.0,-7.924908277e-05
45,0.0,-2.25,-5.0,-8.563096344e-05
46,0.0,-2.3000000000000003,-5.0,-9.222832887e-05
47,0.0,-2.35,-5.0,-9.859231795e-05
48,0.0,-2.4000000000000004,-5.0,-0.0001055854591
49,0.0,-2.45,-5.0,-0.0001127890428
50,0.0,-2.5,-5.0,-0.0001202000421
51,0.0,-2.5500000000000003,-5.0,-0.000127370964
52,0.0,-2.6,-5.0,-0.0001351389947
53,0.0,-2.6500000000000004,-5.0,-0.0001431439014
54,0.0,-2.7,-5.0,-0.000151318076
55,0.0,-2.75,-5.0,-0.0001591479813
56,0.0,-2.8000000000000003,-5.0,-0.0001676848042
57,0.0,-2.85,-5.0,-0.0001764262997
58,0.0,-2.9000000000000004,-5.0,-0.0001852074929
59,0.0,-2.95,-5.0,-0.0001936731423
60,0.0,-3.0,-5.0,-0.0002028996969
61,0.0,-3.0500000000000003,-5.0,-0.000212268118
