,vs,vg,vd,id
0,0.0,13.0,5.0,1.85733e-09
1,0.0,13.25,5.0,1.99983e-09
2,0.0,13.5,5.0,2.19079e-09
3,0.0,13.75,5.0,2.46144e-09
4,0.0,14.0,5.0,2.83006e-09
5,0.0,14.25,5.0,3.3808e-09
6,0.0,14.5,5.0,4.10278e-09
7,0.0,14.75,5.0,5.20407e-09
8,0.0,15.0,5.0,6.72987e-09
9,0.0,15.25,5.0,8.83245e-09
10,0.0,15.5,5.0,1.2183e-08
11,0.0,15.75,5.0,1.67755e-08
12,0.0,16.0,5.0,2.32806e-08
13,0.0,16.25,5.0,3.2675e-08
14,0.0,16.5,5.0,4.62886e-08
15,0.0,16.75,5.0,6.6187e-08
16,0.0,17.0,5.0,9.52125e-08
17,0.0,17.25,5.0,1.3598e-07
18,0.0,17.5,5.0,1.93509e-07
19,0.0,17.75,5.0,2.75603e-07
20,0.0,18.0,5.0,3.87326e-07
21,0.0,18.25,5.0,5.39915e-07
22,0.0,18.5,5.0,7.48053e-07
23,0.0,18.75,5.0,1.01717e-06
24,0.0,19.0,5.0,1.36307e-06
25,0.0,19.25,5.0,1.79705e-06
26,0.0,19.5,5.0,2.34532e-06
27,0.0,19.75,5.0,3.00314e-06
28,0.0,20.0,5.0,3.77105e-06
29,0.0,20.25,5.0,4.69863e-06
30,0.0,20.5,5.0,5.77958e-06
31,0.0,20.75,5.0,7.00933e-06
32,0.0,21.0,5.0,8.36628e-06
33,0.0,21.25,5.0,9.92051e-06
34,0.0,21.5,5.0,1.16629e-05
35,0.0,21.75,5.0,1.35658e-05
36,0.0,22.0,5.0,1.56822e-05
37,0.0,22.25,5.0,1.79959e-05
38,0.0,22.5,5.0,2.04825e-05
39,0.0,22.75,5.0,2.31413e-05
40,0.0,23.0,5.0,2.60561e-05
41,0.0,23.25,5.0,2.9167e-05
42,0.0,23.5,5.0,3.2435e-05
43,0.0,23.75,5.0,3.5952e-05
44,0.0,24.0,5.0,3.96719e-05
45,0.0,24.25,5.0,4.35884e-05
46,0.0,24.5,5.0,4.77749e-05
47,0.0,24.75,5.0,5.21664e-05
48,0.0,25.0,5.0,5.67684e-05
49,0.0,25.25,5.0,6.15631e-05
50,0.0,25.5,5.0,6.66415e-05
51,0.0,25.75,5.0,7.19473e-05
52,0.0,26.0,5.0,7.74197e-05
53,0.0,26.25,5.0,8.31558e-05
54,0.0,26.5,5.0,8.91171e-05
55,0.0,26.75,5.0,9.53184e-05
56,0.0,27.0,5.0,0.000101666
57,0.0,27.25,5.0,0.000108297
58,0.0,27.5,5.0,0.000115208
59,0.0,27.75,5.0,0.000122248
60,0.0,28.0,5.0,0.000129604
61,0.0,28.25,5.0,0.000137207
62,0.0,28.5,5.0,0.000145045
63,0.0,28.75,5.0,0.000153021
64,0.0,29.0,5.0,0.000161342
65,0.0,29.25,5.0,0.000169924
66,0.0,29.5,5.0,0.000178608
67,0.0,29.75,5.0,0.000187654
68,0.0,30.0,5.0,0.000196933
69,0.0,30.25,5.0,0.000206453
70,0.0,30.5,5.0,0.000216087
71,0.0,30.75,5.0,0.000226094
72,0.0,31.0,5.0,0.00023633
73,0.0,31.25,5.0,0.000246682
74,0.0,31.5,5.0,0.000257426
75,0.0,31.75,5.0,0.00026839
76,0.0,32.0,5.0,0.000279635
77,0.0,32.25,5.0,0.000290966
78,0.0,32.5,5.0,0.000302658
79,0.0,32.75,5.0,0.000314622
80,0.0,33.0,5.0,0.00032666
81,0.0,33.25,5.0,0.000339129
82,0.0,33.5,5.0,0.000351824
83,0.0,33.75,5.0,0.000364742
84,0.0,34.0,5.0,0.000377695
85,0.0,34.25,5.0,0.000391123
86,0.0,34.5,5.0,0.000404833
87,0.0,34.75,5.0,0.000418596
88,0.0,35.0,5.0,0.000432778
89,0.0,35.25,5.0,0.000447255
90,0.0,35.5,5.0,0.000461831
91,0.0,35.75,5.0,0.000476666
92,0.0,36.0,5.0,0.000491858
93,0.0,36.25,5.0,0.000507305
94,0.0,36.5,5.0,0.000522777
95,0.0,36.75,5.0,0.000538672
96,0.0,37.0,5.0,0.000554867
97,0.0,37.25,5.0,0.000571144
98,0.0,37.5,5.0,0.000587874
99,0.0,37.75,5.0,0.000604761
100,0.0,38.0,5.0,0.000621945
101,0.0,38.25,5.0,0.000639185
102,0.0,38.5,5.0,0.000656787
103,0.0,38.75,5.0,0.000674895
104,0.0,39.0,5.0,0.000692875
105,0.0,39.25,5.0,0.000711269
106,0.0,39.5,5.0,0.000729887
107,0.0,39.75,5.0,0.000748826
108,0.0,40.0,5.0,0.00076778
109,0.0,40.25,5.0,0.000787159
110,0.0,40.5,5.0,0.000806928
111,0.0,40.75,5.0,0.000826773
112,0.0,41.0,5.0,0.00084716
113,0.0,41.25,5.0,0.000867794
114,0.0,41.5,5.0,0.000888676
115,0.0,41.75,5.0,0.000909553
116,0.0,42.0,5.0,0.00093054
117,0.0,42.25,5.0,0.000952142
118,0.0,42.5,5.0,0.000973803
119,0.0,42.75,5.0,0.000996141
120,0.0,43.0,5.0,0.00101849
121,0.0,43.25,5.0,0.00104109
122,0.0,43.5,5.0,0.00106379
123,0.0,43.75,5.0,0.00108687
124,0.0,44.0,5.0,0.0011101
125,0.0,44.25,5.0,0.00113308
126,0.0,44.5,5.0,0.00115711
127,0.0,44.75,5.0,0.00118113
128,0.0,45.0,5.0,0.00120538
