,vs,vg,vd,id
0,0.0,0.0,0.0,-3.66211e-13
1,0.0,0.0,-0.05,-2.47628e-11
2,0.0,0.0,-0.1,-5.1751e-11
3,0.0,0.0,-0.15000000000000002,-8.71939e-11
4,0.0,0.0,-0.2,-1.48109e-10
5,0.0,0.0,-0.25,-2.46099e-10
6,0.0,0.0,-0.30000000000000004,-4.07117e-10
7,0.0,0.0,-0.35000000000000003,-6.7639e-10
8,0.0,0.0,-0.4,-1.12382e-09
9,0.0,0.0,-0.45,-1.84785e-09
10,0.0,0.0,-0.5,-3.07888e-09
11,0.0,0.0,-0.55,-5.19119e-09
12,0.0,0.0,-0.6000000000000001,-8.87399e-09
13,0.0,0.0,-0.65,-1.53533e-08
14,0.0,0.0,-0.7000000000000001,-2.65676e-08
15,0.0,0.0,-0.75,-4.56891e-08
16,0.0,0.0,-0.8,-7.77702e-08
17,0.0,0.0,-0.8500000000000001,-1.3045e-07
18,0.0,0.0,-0.9,-2.1486e-07
19,0.0,0.0,-0.9500000000000001,-3.44347e-07
20,0.0,0.0,-1.0,-5.35603e-07
21,0.0,0.0,-1.05,-8.07781e-07
22,0.0,0.0,-1.1,-1.17993e-06
23,0.0,0.0,-1.1500000000000001,-1.67594e-06
24,0.0,0.0,-1.2000000000000002,-2.32019e-06
25,0.0,0.0,-1.25,-3.10713e-06
26,0.0,0.0,-1.3,-4.05626e-06
27,0.0,0.0,-1.35,-5.18146e-06
28,0.0,0.0,-1.4000000000000001,-6.50308e-06
29,0.0,0.0,-1.4500000000000002,-8.02159e-06
30,0.0,0.0,-1.5,-9.75253e-06
31,0.0,0.0,-1.55,-1.1684e-05
32,0.0,0.0,-1.6,-1.38178e-05
33,0.0,0.0,-1.6500000000000001,-1.61659e-05
34,0.0,0.0,-1.7000000000000002,-1.87365e-05
35,0.0,0.0,-1.75,-2.15284e-05
36,0.0,0.0,-1.8,-2.45536e-05
37,0.0,0.0,-1.85,-2.78143e-05
38,0.0,0.0,-1.9000000000000001,-3.12934e-05
39,0.0,0.0,-1.9500000000000002,-3.50049e-05
40,0.0,0.0,-2.0,-3.89439e-05
41,0.0,0.0,-2.0500000000000003,-4.31165e-05
42,0.0,0.0,-2.1,-4.75099e-05
43,0.0,0.0,-2.15,-5.21419e-05
44,0.0,0.0,-2.2,-5.70011e-05
45,0.0,0.0,-2.25,-6.20757e-05
46,0.0,0.0,-2.3000000000000003,-6.73932e-05
47,0.0,0.0,-2.35,-7.29352e-05
48,0.0,0.0,-2.4000000000000004,-7.87043e-05
49,0.0,0.0,-2.45,-8.46973e-05
50,0.0,0.0,-2.5,-9.09206e-05
51,0.0,0.0,-2.5500000000000003,-9.73665e-05
52,0.0,0.0,-2.6,-0.000104034
53,0.0,0.0,-2.6500000000000004,-0.000110928
54,0.0,0.0,-2.7,-0.000118051
55,0.0,0.0,-2.75,-0.000125388
56,0.0,0.0,-2.8000000000000003,-0.000132964
57,0.0,0.0,-2.85,-0.000140746
58,0.0,0.0,-2.9000000000000004,-0.000148742
59,0.0,0.0,-2.95,-0.000156968
60,0.0,0.0,-3.0,-0.000165408
61,0.0,0.0,-3.0500000000000003,-0.000174056
62,0.0,0.0,-3.1,-0.000182951
63,0.0,0.0,-3.1500000000000004,-0.00019205
64,0.0,0.0,-3.2,-0.00020134
65,0.0,0.0,-3.25,-0.000210836
66,0.0,0.0,-3.3000000000000003,-0.00022054
67,0.0,0.0,-3.35,-0.000230475
68,0.0,0.0,-3.4000000000000004,-0.000240614
69,0.0,0.0,-3.45,-0.000250943
70,0.0,0.0,-3.5,-0.000261497
71,0.0,0.0,-3.5500000000000003,-0.000272178
72,0.0,0.0,-3.6,-0.000283141
73,0.0,0.0,-3.6500000000000004,-0.000294275
74,0.0,0.0,-3.7,-0.000305599
75,0.0,0.0,-3.75,-0.000317118
76,0.0,0.0,-3.8000000000000003,-0.000328763
77,0.0,0.0,-3.85,-0.000340614
78,0.0,0.0,-3.9000000000000004,-0.000352657
79,0.0,0.0,-3.95,-0.000364956
80,0.0,0.0,-4.0,-0.000377458
81,0.0,0.0,-4.05,-0.000390114
82,0.0,0.0,-4.1000000000000005,-0.000402958
83,0.0,0.0,-4.15,-0.000415939
84,0.0,0.0,-4.2,-0.000429048
85,0.0,0.0,-4.25,-0.000442391
86,0.0,0.0,-4.3,-0.000455937
87,0.0,0.0,-4.3500000000000005,-0.00046969
88,0.0,0.0,-4.4,-0.000483589
89,0.0,0.0,-4.45,-0.000497675
90,0.0,0.0,-4.5,-0.000511892
91,0.0,0.0,-4.55,-0.000526227
92,0.0,0.0,-4.6000000000000005,-0.000540673
93,0.0,0.0,-4.65,-0.000555196
94,0.0,0.0,-4.7,-0.000569711
95,0.0,0.0,-4.75,-0.000584651
96,0.0,0.0,-4.800000000000001,-0.000599701
97,0.0,0.0,-4.8500000000000005,-0.000614861
98,0.0,0.0,-4.9,-0.000630378
99,0.0,0.0,-4.95,-0.000645989
100,0.0,0.0,-5.0,-0.000661634
