,vs,vg,vd,id
0,0.0,0.0,0.0,8.13714e-09
1,0.0,0.0,-0.05,-3.32349e-06
2,0.0,0.0,-0.1,-6.62467e-06
3,0.0,0.0,-0.15000000000000002,-9.8744e-06
4,0.0,0.0,-0.2,-1.30397e-05
5,0.0,0.0,-0.25,-1.61483e-05
6,0.0,0.0,-0.30000000000000004,-1.91987e-05
7,0.0,0.0,-0.35000000000000003,-2.21851e-05
8,0.0,0.0,-0.4,-2.51139e-05
9,0.0,0.0,-0.45,-2.79807e-05
10,0.0,0.0,-0.5,-3.07941e-05
11,0.0,0.0,-0.55,-3.35394e-05
12,0.0,0.0,-0.6000000000000001,-3.62026e-05
13,0.0,0.0,-0.65,-3.88326e-05
14,0.0,0.0,-0.7000000000000001,-4.13953e-05
15,0.0,0.0,-0.75,-4.39e-05
16,0.0,0.0,-0.8,-4.6341e-05
17,0.0,0.0,-0.8500000000000001,-4.872e-05
18,0.0,0.0,-0.9,-5.10375e-05
19,0.0,0.0,-0.9500000000000001,-5.32884e-05
20,0.0,0.0,-1.0,-5.54743e-05
21,0.0,0.0,-1.05,-5.76088e-05
22,0.0,0.0,-1.1,-5.96697e-05
23,0.0,0.0,-1.1500000000000001,-6.16585e-05
24,0.0,0.0,-1.2000000000000002,-6.36084e-05
25,0.0,0.0,-1.25,-6.54706e-05
26,0.0,0.0,-1.3,-6.72803e-05
27,0.0,0.0,-1.35,-6.90031e-05
28,0.0,0.0,-1.4000000000000001,-7.06556e-05
29,0.0,0.0,-1.4500000000000002,-7.22559e-05
30,0.0,0.0,-1.5,-7.38098e-05
31,0.0,0.0,-1.55,-7.52911e-05
32,0.0,0.0,-1.6,-7.66762e-05
33,0.0,0.0,-1.6500000000000001,-7.80123e-05
34,0.0,0.0,-1.7000000000000002,-7.92713e-05
35,0.0,0.0,-1.75,-8.04417e-05
36,0.0,0.0,-1.8,-8.15651e-05
37,0.0,0.0,-1.85,-8.26073e-05
38,0.0,0.0,-1.9000000000000001,-8.35664e-05
39,0.0,0.0,-1.9500000000000002,-8.44536e-05
40,0.0,0.0,-2.0,-8.52607e-05
41,0.0,0.0,-2.0500000000000003,-8.59898e-05
42,0.0,0.0,-2.1,-8.66477e-05
43,0.0,0.0,-2.15,-8.7218e-05
44,0.0,0.0,-2.2,-8.77233e-05
45,0.0,0.0,-2.25,-8.81473e-05
46,0.0,0.0,-2.3000000000000003,-8.84945e-05
47,0.0,0.0,-2.35,-8.8775e-05
48,0.0,0.0,-2.4000000000000004,-8.89982e-05
49,0.0,0.0,-2.45,-8.91699e-05
50,0.0,0.0,-2.5,-8.92975e-05
51,0.0,0.0,-2.5500000000000003,-8.93912e-05
52,0.0,0.0,-2.6,-8.94635e-05
53,0.0,0.0,-2.6500000000000004,-8.95206e-05
54,0.0,0.0,-2.7,-8.95722e-05
55,0.0,0.0,-2.75,-8.96235e-05
56,0.0,0.0,-2.8000000000000003,-8.96557e-05
57,0.0,0.0,-2.85,-8.96857e-05
58,0.0,0.0,-2.9000000000000004,-8.97116e-05
59,0.0,0.0,-2.95,-8.97372e-05
60,0.0,0.0,-3.0,-8.97619e-05
61,0.0,0.0,-3.0500000000000003,-8.9771e-05
62,0.0,0.0,-3.1,-8.98021e-05
63,0.0,0.0,-3.1500000000000004,-8.98291e-05
64,0.0,0.0,-3.2,-8.98466e-05
65,0.0,0.0,-3.25,-8.98693e-05
66,0.0,0.0,-3.3000000000000003,-8.98941e-05
67,0.0,0.0,-3.35,-8.99172e-05
68,0.0,0.0,-3.4000000000000004,-8.99377e-05
69,0.0,0.0,-3.45,-8.99573e-05
70,0.0,0.0,-3.5,-8.99745e-05
71,0.0,0.0,-3.5500000000000003,-8.99832e-05
72,0.0,0.0,-3.6,-8.99982e-05
73,0.0,0.0,-3.6500000000000004,-9.00171e-05
74,0.0,0.0,-3.7,-9.00398e-05
75,0.0,0.0,-3.75,-9.00597e-05
76,0.0,0.0,-3.8000000000000003,-9.00758e-05
77,0.0,0.0,-3.85,-9.00917e-05
78,0.0,0.0,-3.9000000000000004,-9.01073e-05
79,0.0,0.0,-3.95,-9.01221e-05
80,0.0,0.0,-4.0,-9.01366e-05
81,0.0,0.0,-4.05,-9.01507e-05
82,0.0,0.0,-4.1000000000000005,-9.01602e-05
83,0.0,0.0,-4.15,-9.01781e-05
84,0.0,0.0,-4.2,-9.01995e-05
85,0.0,0.0,-4.25,-9.0177e-05
86,0.0,0.0,-4.3,-9.01839e-05
87,0.0,0.0,-4.3500000000000005,-9.02016e-05
88,0.0,0.0,-4.4,-9.02193e-05
89,0.0,0.0,-4.45,-9.02295e-05
90,0.0,0.0,-4.5,-9.02546e-05
91,0.0,0.0,-4.55,-9.0297e-05
92,0.0,0.0,-4.6000000000000005,-9.03243e-05
93,0.0,0.0,-4.65,-9.0332e-05
94,0.0,0.0,-4.7,-9.03369e-05
95,0.0,0.0,-4.75,-9.03491e-05
96,0.0,0.0,-4.800000000000001,-9.03727e-05
97,0.0,0.0,-4.8500000000000005,-9.03792e-05
98,0.0,0.0,-4.9,-9.03985e-05
99,0.0,0.0,-4.95,-9.04094e-05
100,0.0,0.0,-5.0,-9.04217e-05
