,vs,vg,vd,id
0,0.0,0.0,-5.0,-2.097e-12
1,0.0,-0.05,-5.0,-2.09146e-12
2,0.0,-0.1,-5.0,-2.12091e-12
3,0.0,-0.15000000000000002,-5.0,-2.14061e-12
4,0.0,-0.2,-5.0,-2.26095e-12
5,0.0,-0.25,-5.0,-2.51075e-12
6,0.0,-0.30000000000000004,-5.0,-3.01024e-12
7,0.0,-0.35000000000000003,-5.0,-3.97671e-12
8,0.0,-0.4,-5.0,-5.69347e-12
9,0.0,-0.45,-5.0,-9.32626e-12
10,0.0,-0.5,-5.0,-1.82492e-11
11,0.0,-0.55,-5.0,-4.134e-11
12,0.0,-0.6000000000000001,-5.0,-9.76275e-11
13,0.0,-0.65,-5.0,-2.64453e-10
14,0.0,-0.7000000000000001,-5.0,-7.44465e-10
15,0.0,-0.75,-5.0,-2.08096e-09
16,0.0,-0.8,-5.0,-5.40498e-09
17,0.0,-0.8500000000000001,-5.0,-1.40899e-08
18,0.0,-0.9,-5.0,-3.34872e-08
19,0.0,-0.9500000000000001,-5.0,-7.08764e-08
20,0.0,-1.0,-5.0,-1.30129e-07
21,0.0,-1.05,-5.0,-2.25755e-07
22,0.0,-1.1,-5.0,-3.60268e-07
23,0.0,-1.1500000000000001,-5.0,-5.38794e-07
24,0.0,-1.2000000000000002,-5.0,-7.49842e-07
25,0.0,-1.25,-5.0,-1.02037e-06
26,0.0,-1.3,-5.0,-1.33809e-06
27,0.0,-1.35,-5.0,-1.70759e-06
28,0.0,-1.4000000000000001,-5.0,-2.09981e-06
29,0.0,-1.4500000000000002,-5.0,-2.56737e-06
30,0.0,-1.5,-5.0,-3.08221e-06
31,0.0,-1.55,-5.0,-3.6468e-06
32,0.0,-1.6,-5.0,-4.22069e-06
33,0.0,-1.6500000000000001,-5.0,-4.88227e-06
34,0.0,-1.7000000000000002,-5.0,-5.58781e-06
35,0.0,-1.75,-5.0,-6.34271e-06
36,0.0,-1.8,-5.0,-7.09333e-06
37,0.0,-1.85,-5.0,-7.9379e-06
38,0.0,-1.9000000000000001,-5.0,-8.829e-06
39,0.0,-1.9500000000000002,-5.0,-9.76543e-06
40,0.0,-2.0,-5.0,-1.06835e-05
41,0.0,-2.0500000000000003,-5.0,-1.17018e-05
42,0.0,-2.1,-5.0,-1.2773e-05
43,0.0,-2.15,-5.0,-1.38054e-05
44,0.0,-2.2,-5.0,-1.49538e-05
45,0.0,-2.25,-5.0,-1.61414e-05
46,0.0,-2.3000000000000003,-5.0,-1.73608e-05
47,0.0,-2.35,-5.0,-1.85572e-05
48,0.0,-2.4000000000000004,-5.0,-1.98561e-05
49,0.0,-2.45,-5.0,-2.11963e-05
50,0.0,-2.5,-5.0,-2.25742e-05
51,0.0,-2.5500000000000003,-5.0,-2.3911e-05
52,0.0,-2.6,-5.0,-2.53622e-05
53,0.0,-2.6500000000000004,-5.0,-2.68547e-05
54,0.0,-2.7,-5.0,-2.8378e-05
55,0.0,-2.75,-5.0,-2.98476e-05
56,0.0,-2.8000000000000003,-5.0,-3.14512e-05
57,0.0,-2.85,-5.0,-3.30887e-05
58,0.0,-2.9000000000000004,-5.0,-3.47485e-05
59,0.0,-2.95,-5.0,-3.63441e-05
60,0.0,-3.0,-5.0,-3.80854e-05
61,0.0,-3.0500000000000003,-5.0,-3.98602e-05
62,0.0,-3.1,-5.0,-4.16609e-05
63,0.0,-3.1500000000000004,-5.0,-4.33668e-05
64,0.0,-3.2,-5.0,-4.52307e-05
65,0.0,-3.25,-5.0,-4.71341e-05
66,0.0,-3.3000000000000003,-5.0,-4.90592e-05
67,0.0,-3.35,-5.0,-5.09019e-05
68,0.0,-3.4000000000000004,-5.0,-5.28987e-05
69,0.0,-3.45,-5.0,-5.49247e-05
70,0.0,-3.5,-5.0,-5.69801e-05
71,0.0,-3.5500000000000003,-5.0,-5.89398e-05
72,0.0,-3.6,-5.0,-6.10539e-05
73,0.0,-3.6500000000000004,-5.0,-6.31852e-05
74,0.0,-3.7,-5.0,-6.53499e-05
75,0.0,-3.75,-5.0,-6.74197e-05
76,0.0,-3.8000000000000003,-5.0,-6.96363e-05
77,0.0,-3.85,-5.0,-7.19036e-05
78,0.0,-3.9000000000000004,-5.0,-7.41889e-05
79,0.0,-3.95,-5.0,-7.63551e-05
80,0.0,-4.0,-5.0,-7.86912e-05
81,0.0,-4.05,-5.0,-8.10695e-05
82,0.0,-4.1000000000000005,-5.0,-8.33134e-05
83,0.0,-4.15,-5.0,-8.57271e-05
84,0.0,-4.2,-5.0,-8.81803e-05
85,0.0,-4.25,-5.0,-9.06662e-05
86,0.0,-4.3,-5.0,-9.30142e-05
87,0.0,-4.3500000000000005,-5.0,-9.5541e-05
88,0.0,-4.4,-5.0,-9.80977e-05
89,0.0,-4.45,-5.0,-0.000100678
90,0.0,-4.5,-5.0,-0.000103122
91,0.0,-4.55,-5.0,-0.000105753
92,0.0,-4.6000000000000005,-5.0,-0.000108421
93,0.0,-4.65,-5.0,-0.000111091
94,0.0,-4.7,-5.0,-0.000113624
95,0.0,-4.75,-5.0,-0.000116339
96,0.0,-4.800000000000001,-5.0,-0.000119082
97,0.0,-4.8500000000000005,-5.0,-0.000121847
98,0.0,-4.9,-5.0,-0.000124468
99,0.0,-4.95,-5.0,-0.000127265
100,0.0,-5.0,-5.0,-0.000130089
