,vs,vg,vd,id
0,0.0,0.0,-5.0,-9.63032e-13
1,0.0,-0.05,-5.0,-9.42338e-13
2,0.0,-0.1,-5.0,-9.10854e-13
3,0.0,-0.15000000000000002,-5.0,-9.31871e-13
4,0.0,-0.2,-5.0,-9.1095e-13
5,0.0,-0.25,-5.0,-9.38797e-13
6,0.0,-0.30000000000000004,-5.0,-1.05846e-12
7,0.0,-0.35000000000000003,-5.0,-1.27728e-12
8,0.0,-0.4,-5.0,-1.71366e-12
9,0.0,-0.45,-5.0,-2.7293e-12
10,0.0,-0.5,-5.0,-5.25351e-12
11,0.0,-0.55,-5.0,-1.21974e-11
12,0.0,-0.6000000000000001,-5.0,-3.05914e-11
13,0.0,-0.65,-5.0,-8.84826e-11
14,0.0,-0.7000000000000001,-5.0,-2.64084e-10
15,0.0,-0.75,-5.0,-8.04216e-10
16,0.0,-0.8,-5.0,-2.24925e-09
17,0.0,-0.8500000000000001,-5.0,-6.50071e-09
18,0.0,-0.9,-5.0,-1.7555e-08
19,0.0,-0.9500000000000001,-5.0,-4.19189e-08
20,0.0,-1.0,-5.0,-8.4988e-08
21,0.0,-1.05,-5.0,-1.6049e-07
22,0.0,-1.1,-5.0,-2.74659e-07
23,0.0,-1.1500000000000001,-5.0,-4.34267e-07
24,0.0,-1.2000000000000002,-5.0,-6.27067e-07
25,0.0,-1.25,-5.0,-8.81982e-07
26,0.0,-1.3,-5.0,-1.1865e-06
27,0.0,-1.35,-5.0,-1.54644e-06
28,0.0,-1.4000000000000001,-5.0,-1.93337e-06
29,0.0,-1.4500000000000002,-5.0,-2.39597e-06
30,0.0,-1.5,-5.0,-2.91193e-06
31,0.0,-1.55,-5.0,-3.48141e-06
32,0.0,-1.6,-5.0,-4.06557e-06
33,0.0,-1.6500000000000001,-5.0,-4.73801e-06
34,0.0,-1.7000000000000002,-5.0,-5.46002e-06
35,0.0,-1.75,-5.0,-6.23519e-06
36,0.0,-1.8,-5.0,-7.00982e-06
37,0.0,-1.85,-5.0,-7.8813e-06
38,0.0,-1.9000000000000001,-5.0,-8.79962e-06
39,0.0,-1.9500000000000002,-5.0,-9.77022e-06
40,0.0,-2.0,-5.0,-1.07256e-05
41,0.0,-2.0500000000000003,-5.0,-1.17887e-05
42,0.0,-2.1,-5.0,-1.28983e-05
43,0.0,-2.15,-5.0,-1.39747e-05
44,0.0,-2.2,-5.0,-1.51663e-05
45,0.0,-2.25,-5.0,-1.64047e-05
46,0.0,-2.3000000000000003,-5.0,-1.76861e-05
47,0.0,-2.35,-5.0,-1.89327e-05
48,0.0,-2.4000000000000004,-5.0,-2.02964e-05
49,0.0,-2.45,-5.0,-2.16992e-05
50,0.0,-2.5,-5.0,-2.31433e-05
51,0.0,-2.5500000000000003,-5.0,-2.4533e-05
52,0.0,-2.6,-5.0,-2.60583e-05
53,0.0,-2.6500000000000004,-5.0,-2.76294e-05
54,0.0,-2.7,-5.0,-2.9226e-05
55,0.0,-2.75,-5.0,-3.07576e-05
56,0.0,-2.8000000000000003,-5.0,-3.24203e-05
57,0.0,-2.85,-5.0,-3.4135e-05
58,0.0,-2.9000000000000004,-5.0,-3.58759e-05
59,0.0,-2.95,-5.0,-3.75524e-05
60,0.0,-3.0,-5.0,-3.9367e-05
61,0.0,-3.0500000000000003,-5.0,-4.12279e-05
62,0.0,-3.1,-5.0,-4.31245e-05
63,0.0,-3.1500000000000004,-5.0,-4.49313e-05
64,0.0,-3.2,-5.0,-4.68873e-05
65,0.0,-3.25,-5.0,-4.88864e-05
66,0.0,-3.3000000000000003,-5.0,-5.09146e-05
67,0.0,-3.35,-5.0,-5.28419e-05
68,0.0,-3.4000000000000004,-5.0,-5.49443e-05
69,0.0,-3.45,-5.0,-5.70705e-05
70,0.0,-3.5,-5.0,-5.92441e-05
71,0.0,-3.5500000000000003,-5.0,-6.12791e-05
72,0.0,-3.6,-5.0,-6.35094e-05
73,0.0,-3.6500000000000004,-5.0,-6.57618e-05
74,0.0,-3.7,-5.0,-6.8052e-05
75,0.0,-3.75,-5.0,-7.02205e-05
76,0.0,-3.8000000000000003,-5.0,-7.25765e-05
77,0.0,-3.85,-5.0,-7.4947e-05
78,0.0,-3.9000000000000004,-5.0,-7.73569e-05
79,0.0,-3.95,-5.0,-7.96408e-05
80,0.0,-4.0,-5.0,-8.2112e-05
81,0.0,-4.05,-5.0,-8.46111e-05
82,0.0,-4.1000000000000005,-5.0,-8.69637e-05
83,0.0,-4.15,-5.0,-8.9494e-05
84,0.0,-4.2,-5.0,-9.2053e-05
85,0.0,-4.25,-5.0,-9.46557e-05
86,0.0,-4.3,-5.0,-9.71239e-05
87,0.0,-4.3500000000000005,-5.0,-9.97776e-05
88,0.0,-4.4,-5.0,-0.000102451
89,0.0,-4.45,-5.0,-0.00010516
90,0.0,-4.5,-5.0,-0.00010771
91,0.0,-4.55,-5.0,-0.000110473
92,0.0,-4.6000000000000005,-5.0,-0.000113271
93,0.0,-4.65,-5.0,-0.000116089
94,0.0,-4.7,-5.0,-0.000118746
95,0.0,-4.75,-5.0,-0.000121597
96,0.0,-4.800000000000001,-5.0,-0.000124484
97,0.0,-4.8500000000000005,-5.0,-0.000127363
98,0.0,-4.9,-5.0,-0.0001301
99,0.0,-4.95,-5.0,-0.000133049
100,0.0,-5.0,-5.0,-0.000136059
